PKGID,ORDER,BORROWERID,BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC
198605021,1,B0129,AIR INDIA,,INDIA,IND,H51
198605022,1,B2907,INDIAN OVERSEAS BANK,,INDIA,IND,K64
198605023,1,B2926,INDUSTRIAL DEVELOPMENT BANK OF INDIA,IDBI,INDIA,IND,K64
198605024,1,B5354,GOLAR GAS CRYOGENICS INC,,INDONESIA,IDN,H50
198605025,1,B4679,REPUBLIC OF INDONESIA,,INDONESIA,IDN,O84
198605026,1,B1924,ELECTRICITY SUPPLY BOARD,ESB,IRELAND,IRL,D35
198605027,1,B2484,REPUBLIC OF IRELAND,,IRELAND,IRL,O84
198605028,1,B0518,BANCA COMMERCIALE ITALIANA,,ITALY,ITA,K64
198605029,1,B0587,BANCO DI ROMA,,ITALY,ITA,K64
198605030,1,B1938,ELETTRO MECCANICA UMBRA SPA,EMU,ITALY,ITA,
198605031,1,B2486,REPUBLIC OF ITALY,,ITALY,ITA,O84
198605032,1,B2781,HONDA INTERNATIONAL FINANCE BV,,JAPAN,JPN,K64
198605033,1,B2864,HYUNDAI ENGINEERING & CONSTRUCTION COMPANY,,KOREA,KOR,F41
198605034,1,B3298,KOREA KUWAIT BANKING CORP,,KOREA,KOR,
198605035,1,B4331,PERBUDANAM NASIONAL,PERNAS GROUP,MALAYSIA,MYS,
198605036,1,B4331,PERBUDANAM NASIONAL,PERNAS GROUP,MALAYSIA,MYS,
198605037,1,B3808,MORGAN BANK NEDERLAND NV,,NETHERLANDS,NLD,
198605038,1,B0135,AIR NEW ZEALAND,,NEW ZEALAND,NZL,H51
198605039,1,B3949,NEVI A/S,,NORWAY,NOR,
198605040,1,B4030,NORGES SKIBSHYPOTEK A/S,,NORWAY,NOR,
198605041,1,B4581,QATAR PETROCHEMICAL COMPANY SAQ,QAPCO,QATAR,QAT,C19
198605042,1,B1303,CHUAN HUP MARINE LTD,,SINGAPORE,SGP,K64
198605043,1,B1693,DAISY BULK CARRIER PTE LTD,,SINGAPORE,SGP,
198605044,1,B4196,OUB CENTRE PTE LTD,,SINGAPORE,SGP,L68
198605045,1,B0098,AGA AB,,SWEDEN,SWE,D35
198605046,1,B0098,AGA AB,,SWEDEN,SWE,D35
198605047,1,B2533,KINGDOM OF SWEDEN,,SWEDEN,SWE,O84
198605048,1,B3947,NESTLE CAPITAL CORP,,SWITZERLAND,CHE,C10
198605049,1,B0710,BANK OF THAILAND,,THAILAND,THA,K64
198605050,1,B0230,AMARI PLC,,UNITED KINGDOM,GBR,C22
198605051,1,B0768,BAT INDUSTRIES PLC,,UNITED KINGDOM,GBR,C12
198605052,1,B0901,BP CAPITAL NV,,UNITED KINGDOM,GBR,K64
198605053,1,B2545,SOUTH TYNESIDE METROPOLITAN COUNCIL,,UNITED KINGDOM,GBR,O84
198605054,1,B5295,STANDARD LIFE ASSURANCE COMPANY,,UNITED KINGDOM,GBR,K64
198605055,1,B5544,THORN-EMI,,UNITED KINGDOM,GBR,J59
198605056,1,B3986,ASPRO NICHOLAS HOLDINGS INC,,UNITED STATES,USA,K64
198605057,1,B0798,BELL & HOWELL COMPANY,,UNITED STATES,USA,C28
198605058,1,B2365,GENCORP,,UNITED STATES,USA,C22
198605059,1,B2809,HOSPITAL CORPORATION OF AMERICA,HCA,UNITED STATES,USA,Q86
198605060,1,B3020,IBM CREDIT CORP,,UNITED STATES,USA,K64
198605061,1,B3020,IBM CREDIT CORP,,UNITED STATES,USA,K64
198605062,1,B3016,INTERNATIONAL BANK FOR ECONOMIC COOPERATION,IBEC,USSR,SUN,K64
198605063,1,B0679,VNESHTORGBANK,,USSR,SUN,K64
198606001,1,B0725,BANQUE ALGERIENNE DE DEVELOPPEMENT,BAD,ALGERIA,DZA,K64
198606002,1,B0434,AUSSAT FINANCE CO,,AUSTRALIA,AUS,
198606003,1,B4343,PERTH BUILDING SOCIETY,,AUSTRALIA,AUS,K64
198606004,1,B6073,ZENTRALSPARKASSE UND KOMMZERIALBANK,,AUSTRIA,AUT,
198606005,1,B2633,GULL INTERNATIONAL BANK BSC,,BAHRAIN,BHR,K64
198606006,1,B2451,KINGDOM OF BELGIUM,,BELGIUM,BEL,O84
198606007,1,B0981,BULGARIAN FOREIGN TRADE BANK,,BULGARIA,BGR,K64
198606008,1,B0981,BULGARIAN FOREIGN TRADE BANK,,BULGARIA,BGR,K64
198606009,1,B2460,CITY OF WINNIPEG,,CANADA,CAN,O84
198606010,1,B2888,IMASCO LTD,,CANADA,CAN,C12
198606011,1,B2460,PROVINCE OF NEW BRUNSWICK,,CANADA,CAN,O84
198606012,1,B0694,BANK OF CHINA,,CHINA,CHN,K64
198606013,1,B0694,BANK OF CHINA,,CHINA,CHN,K64
198606014,1,B2806,HOPEWELL POWER (CHINA) LTD,,CHINA,CHN,L68
198606015,1,B6019,XING XIA GO LTD,,CHINA,CHN,
198606016,1,B0286,ANDELSBANKEN AS,,DENMARK,DNK,K64
198606017,1,B1710,DANSK LANDBRUGS GROVVARESELSKAB AMBA,DLG,DENMARK,DNK,C10
198606018,1,B2212,FINNCELL,,FINLAND,FIN,
198606019,1,B1916,ELECTRICITE DE FRANCE,EDF,FRANCE,FRA,D35
198606020,1,B3326,KREDITANSTALT FUR WIEDERAUFBAU,KFW,WEST GERMANY,DEU,K64
198606021,1,B2474,GREEK STATE (ACTING THROUGH MINISTRY OF FINANCE),,GREECE,GRC,O84
198606022,1,B2718,HENDERSON PROPERTY FINANCE LTD,,HONG KONG,HKG,L68
198606023,1,B3072,IRISH AEROSPACE LTD,,IRELAND,IRL,
198606024,1,B2026,ENTE NAZIONALE PER L'ENERGIA ELETTRICA,ENEL,ITALY,ITA,D35
198606025,1,B2026,ENTE NAZIONALE PER L'ENERGIA ELETTRICA,ENEL,ITALY,ITA,D35
198606026,1,B2173,FERROVIE DELLO STATO,,ITALY,ITA,H49
198606027,1,B3091,IMI COMMERCIAL PAPER INC,,ITALY,ITA,
198606028,1,B4097,NUOVA ITALSIDER SPA,,ITALY,ITA,
198606029,1,B3774,MITSUI & CO EUROPE (NETHERLANDS) BC,,JAPAN,JPN,K64
198606030,1,B3774,MITSUI & CO (USA),,JAPAN,JPN,K64
198606031,1,B5578,TOSHIBA INTERNATIONAL FINANCE (NETHERLANDS) BV,,JAPAN,JPN,K64
198606032,1,B6033,YASUDA TRUST & BANKING CO (LONDON),,JAPAN,JPN,K64
198606033,1,B3232,KENYA PIPELINE CO,,KENYA,KEN,C18
198606034,1,B2864,HYUNDAI HEAVY INDUSTRIES,,KOREA,KOR,C32
198606035,1,B3285,KOREA DEVELOPMENT BANK,KDB,KOREA,KOR,K64
198606036,1,B0728,BANQUE CENTRALE DE LA REPUBLIQUE MALGACHE,,MADAGASCAR,MDG,K64
198606037,1,B1775,DEVELOPMENT FINANCE CORPORATION OF NEW ZEALAND,,NEW ZEALAND,NZL,K64
198606038,1,B2259,FLETCHER CHALLENGE LTD,,NEW ZEALAND,NZL,F41
198606039,1,B2501,HER MAJESTY THE QUEEN IN RIGHT OF NEW ZEALAND,,NEW ZEALAND,NZL,O84
198606040,1,B3975,NEW ZEALAND SYNTHETIC FUELS CORP,,NEW ZEALAND,NZL,D35
198606041,1,B3969,NZI FINANCIAL CORP,,NEW ZEALAND,NZL,K64
198606042,1,B0813,BERGEN BANK,,NORWAY,NOR,K64
198606043,1,B1301,CHRISTIANIA BANK OG KREDITKASSE,,NORWAY,NOR,K64
198606044,1,B5316,DEN NORSKE STATA OLJESELSKAP A/S (STATOIL),,NORWAY,NOR,D35
198606045,1,B2837,H/S FLYINVEST,,NORWAY,NOR,
198606046,1,B5256,SPAREBANKEN ROGALAND,,NORWAY,NOR,K64
198606047,1,B4237,PAKISTAN INTERNATIONAL AIRLINES,PIA,PAKISTAN,PAK,H51
198606048,1,B0649,BANCO PORTUGUES DO ATLANTICO,,PORTUGAL,PRT,K64
198606049,1,B5611,TRANSPORTES AEREOS PORTUGUES,TAP,PORTUGAL,PRT,H51
198606050,1,B0217,ALUMINA ESPANOLA SA,,SPAIN,ESP,C24
198606051,1,B0473,AUSTOPISTA CONCESIONARIA ASTUR - LEONESA SA,,SPAIN,ESP,F43
198606052,1,B0470,AUTOPISTAS DE NAVARRA SA,,SPAIN,ESP,F42
198606053,1,B1507,COMPANIA SEVILLANA DE ELECTRICIDAD SA,,SPAIN,ESP,D35
198606054,1,B1508,COMPANIA TELEFONICA NACIONAL DE ESPANIA,,SPAIN,ESP,J61
198606055,1,B2977,INSTITUTO DE CREDITO OFICIAL,,SPAIN,ESP,K64
198606056,1,B4646,RED NACIONAL DE LOS FERROCARRILES ESPANOLES,,SPAIN,ESP,H49
198606057,1,B2166,FERMANTA AB,,SWEDEN,SWE,C21
198606057,2,B2166,FERMENTA HOLDING COMPANY AB,,SWEDEN,SWE,C21
198606058,1,B2295,FORSTA SPAREBANKEN,,SWEDEN,SWE,
198606059,1,B4833,SANDVIK AB,,SWEDEN,SWE,F42
198606060,1,B0663,BANGCHAK PETROLEUM CO,,THAILAND,THA,D35
198606061,1,B0281,ANADOLU EKSPORT,,TURKEY,TUR,
198606062,1,B2542,REPUBLIC OF TURKEY,,TURKEY,TUR,O84
198606063,1,B2542,REPUBLIC OF TURKEY,,TURKEY,TUR,O84
198606064,1,B2542,REPUBLIC OF TURKEY,,TURKEY,TUR,O84
198606065,1,B2545,CITY OF LEICESTER,,UNITED KINGDOM,GBR,O84
198606066,1,B2545,CITY OF OXFORD,,UNITED KINGDOM,GBR,O84
198606067,1,B2545,CITY OF OXFORD,,UNITED KINGDOM,GBR,O84
198606068,1,B2092,EUROPEAN FERRIES GROUP,,UNITED KINGDOM,GBR,H50
198606068,2,B2092,EUROPEAN FERRIES PLC,,UNITED KINGDOM,GBR,H50
198606068,3,B2092,TOWNSEND CAR FERRIES LTD,,UNITED KINGDOM,GBR,
198606068,4,B2092,EF INTERNATIONAL INC,,UNITED KINGDOM,GBR,
198606068,5,B2161,FELIXSTONE DOCK & RAILWAY COMPANY,,UNITED KINGDOM,GBR,H49
198606069,1,B2236,FIRST NATIONAL SECURITIES LTD,,UNITED KINGDOM,GBR,K64
198606070,1,B2337,GALLAHER LTD,,UNITED KINGDOM,GBR,C12
198606071,1,B2621,GUINNESS MAHON CIVIC DEVELOPMENTS LTD,,UNITED KINGDOM,GBR,K64
198606071,2,B2545,SOUTH BUCKINGHAMSHIRE DISTRICT COUNCIL,,UNITED KINGDOM,GBR,O84
198606072,1,B3387,LADBROKE GROUP FINANCE BV,,UNITED KINGDOM,GBR,R92
198606073,1,B2545,LONDON BOROUGH OF NEWHAM,,UNITED KINGDOM,GBR,O84
198606074,1,B2545,MONKLANDS DISTRICT COUNCIL,,UNITED KINGDOM,GBR,O84
198606075,1,B4215,P & O FINANCE BV,,UNITED KINGDOM,GBR,K64
198606076,1,B4441,POLLY PECK INTERNATIONAL PLC,,UNITED KINGDOM,GBR,C13
198606077,1,B4640,RECKITT & COLMAN FINANCE BV,,UNITED KINGDOM,GBR,C32
198606078,1,B5332,STOCKLEY PLC,,UNITED KINGDOM,GBR,
198606079,1,B0201,ALLIED-SIGNAL CORP,,UNITED STATES,USA,C32
198606080,1,B0374,ASHLAND OIL COMPANY,,UNITED STATES,USA,C19
198606081,1,B2284,FORD MONTOR CREDIT CORP,,UNITED STATES,USA,K64
198606082,1,B2240,FIRST SECURITY CORP,,UNITED STATES,USA,K64
198606083,1,B2572,GREAT WESTERN SAVINGS,,UNITED STATES,USA,K64
198606083,2,B2157,FEDERAL SAVINGS & LOAN ASSICIATION,,UNITED STATES,USA,K64
198606084,1,B2731,HF AHMANSON & CO,,UNITED STATES,USA,K64
198606084,2,B2776,HOME SAVINGS OF AMERICA FA,,UNITED STATES,USA,K64
198606085,1,B2822,HOUSEHOLD FINANCE CORP,,UNITED STATES,USA,K64
198606086,1,B3736,MILE FINANCE COMPANY,,UNITED STATES,USA,
198606086,2,B2969,INSILCO CORP,,UNITED STATES,USA,C32
198606087,1,B4107,NYNEX CORPORATION,,UNITED STATES,USA,J61
198606088,1,B4225,PACIFIC LIGHTING CORP,,UNITED STATES,USA,D35
198606089,1,B4929,SECURIIES INVESTOR PROTECTION CORP,,UNITED STATES,USA,K64
198606090,1,B5479,TENNECO INC,,UNITED STATES,USA,C29
198606091,1,B5963,WEYERHACUSER CORP,,UNITED STATES,USA,L68
198606091,2,B5963,WEYERHACUSER MORTGAGE CO,,UNITED STATES,USA,L68
198606092,1,B5884,VNESHTORGHANK,,USSR,SUN,K64
198607001,1,B0732,BANQUE DE DEVELOPPEMENT LOCAL,,ALGERIA,DZA,K64
198607002,1,B0800,BELL GROUP LTD,,AUSTRALIA,AUS,F43
198607003,1,B0801,BELL RESOURCES LTD,,AUSTRALIA,AUS,F42
198607004,1,B1071,CANBERRA CAPITAL MARKETS LTD,,AUSTRALIA,AUS,
198607005,1,B1253,CHASE-AMP BANK LTD,,AUSTRALIA,AUS,K64
198607006,1,B2931,INDUSTRIAL EQUITY LTD,IEL,AUSTRALIA,AUS,
198607007,1,B3810,MORGAN GUARANTY AUSTRALIA LTD,,AUSTRALIA,AUS,
198607008,1,B3825,MOUNT ISA MINES LTD,MIM,AUSTRALIA,AUS,
198607009,1,B3905,NATIONAL MUTUAL GROUP FINANCE LTD,,AUSTRALIA,AUS,K64
198607010,1,B4308,PEKO-WALLSEND LTD,,AUSTRALIA,AUS,
198607011,1,B5225,SOUTH YARRA PROJECT - STAGE 1,,AUSTRALIA,AUS,
198607012,1,B2696,HAWLEY GROUP,,BERMUDA,BMU,K64
198607013,1,B2696,HAWLEY INTERNATIONAL FINANCE LTD,,BERMUDA,BMU,K64
198607014,1,B0981,BULGARIAN FOREIGN TRADE BANK,,BULGARIA,BGR,K64
198607015,1,B1555,CONTINENTAL BANK OF CANADA,,CANADA,CAN,K64
198607016,1,B5915,WATER TREATMENT BOARD OF QUEBEC,,CANADA,CAN,
198607017,1,B0694,BANK OF CHINA,,CHINA,CHN,K64
198607018,1,B2608,GUANGDONG ENTERPRISES LTD,,CHINA,CHN,C13
198607019,1,B2610,GUANGDONG GENERAL POWER COMPANY,,CHINA,CHN,D35
198607020,1,B1273,HUANENG INTERNATIONAL POWER DEVELOPMENT CORP,,CHINA,CHN,D35
198607021,1,B1273,HUANENG INTERNATIONAL POWER DEVELOPMENT CORP,,CHINA,CHN,D35
198607022,1,B1630,CREDIT COMMERCIAL DE FRANCE (LONDON),,FRANCE,FRA,K64
198607023,1,B1632,CREDIT D'EQUIPMENT DES PETITES ET MOYENNES ENTERPRISES,CEPME,FRANCE,FRA,K64
198607024,1,B5149,SOCIETE NATIONALE DES CHEMINS DE FER FRANCAIS,SNCF,FRANCE,FRA,H49
198607025,1,B0761,BASF CORPORATION,,GERMANY WEST,DEU,C20
198607026,1,B3403,LANDESBANK RHEINLAND-PFALZ GIROZENTRALE,,GERMANY WEST,DEU,K64
198607027,1,B3810,MORGAN GUARANTY TRUST COMPANY OF NEW YORK (FRANKFURT),,GERMANY WEST,DEU,
198607028,1,B0700,BANK OF GHANA,,GHANA,GHA,K64
198607029,1,B0701,BANK OF GREECE,,GREECE,GRC,K64
198607030,1,B3605,MASS TRANSIT RAILWAY CORPORATION,MTRC,HONG KONG,HKG,H49
198607031,1,B3960,NEW TOWN INVESTMENT HOLDINGS LTD,,HONG KONG,HKG,K64
198607032,1,B3870,NATIONAL BANK OF HUNGARY,,HUNGARY,HUN,K64
198607033,1,B2479,REPUBLIC OF ICEALAND,,ICELAND,ISL,O84
198607034,1,B5234,SOUTHERN PETROCHEMICAL INDUSTRIES CORP,SPIC,INDIA,IND,C19
198607035,1,B4548,PT PUTERA DHARMA,,INDONESIA,IDN,
198607036,1,B2622,GPA GROUP LTD OR A SUBSIDIARY,,IRELAND,IRL,G47
198607037,1,B0429,AUGUSTA SPA,,ITALY,ITA,
198607038,1,B0523,BANCA NAZIONALE DELL' AGRICOLTURA SPA,BNA,ITALY,ITA,K64
198607039,1,B0782,BECA SPA,,ITALY,ITA,J62
198607040,1,B1345,CIR INTERNATIONAL SA,,ITALY,ITA,
198607041,1,B1541,CONSORZIO CO-OPERATIVO CONSERV ITALIA SCRL BOLOGNA,,ITALY,ITA,M73
198607042,1,B2025,ENTE NAZIONALE IDROCARBURU,ENI,ITALY,ITA,D35
198607043,1,B2174,FERUZZI FINANZIARIA SPA,,ITALY,ITA,C10
198607044,1,B3093,ISTITUTO PER LA RICOSTRUZIONE INDUSTRIALE,IRI,ITALY,ITA,K64
198607045,1,B3096,ISTITUTO PER LO SVILUPPO ECONOMICO DELL'ITALIA MERIDIONALE,ISVEIMER,ITALY,ITA,K64
198607046,1,B3096,ISTITUTO PER LO SVILUPPO ECONOMICO DELL'ITALIA MERIDIONALE,ISVEIMER,ITALY,ITA,K64
198607047,1,B3652,MEDIOCREDITO LOMBARDO,,ITALY,ITA,K64
198607048,1,B0054,ACOM CO LTD,,JAPAN,JPN,K64
198607049,1,B3598,MARUBENI UK LTD (CAYMAN),,JAPAN,JPN,G46
198607049,2,B3598,MARUBENI INTERNATIONAL FINANCE (CAYMAN),,JAPAN,JPN,K64
198607049,3,B3598,MARUBENI AMERICA CORP,,JAPAN,JPN,G46
198607050,1,B3774,MITSUI TRUST & BANKING CO (LONDON),,JAPAN,JPN,K64
198607051,1,B3992,NIPPON STEEL INTERNATIONAL (NETHERLANDS) BV,,JAPAN,JPN,C24
198607052,1,B5201,SONY OVERSEAS FINANCE BV,,JAPAN,JPN,K64
198607053,1,B5418,TAKEFUJI CORP,,JAPAN,JPN,K64
198607054,1,B2489,MINISTRY OF SUPPLY OF THE HASHEMITE KINGDOM OF JORDAN,,JORDAN,JOR,O84
198607055,1,B1387,COFFEE BOARD OF KENYA,,KENYA,KEN,O84
198607056,1,B1682,DAEWOO CORP,,KOREA,KOR,C29
198607057,1,B2864,HYUNDAI HEAVY INDUSTRIES,,KOREA,KOR,C32
198607058,1,B3290,KOREA EXCHANGE BANK,KEB,KOREA,KOR,K64
198607059,1,B3920,NATIOALE-NEDERLANDEN US HOLDINGS INC,,NETHERLANDS,NLD,
198607060,1,B3968,NZ FOREST PRODUCTS,,NEW ZEALAND,NZL,C17
198607061,1,B2520,REPUBLIC OF NICARAGUE,,NICARAGUA,NIC,O84
198607062,1,B2504,CITY OF BERGEN,,NORWAY,NOR,O84
198607063,1,B1349,CITIBANK A/S,,NORWAY,NOR,
198607064,1,B0013,A/S CUSTOS FINANS,,NORWAY,NOR,
198607065,1,B5316,DEN NORSKE STATA OLJESELSKAP A/S (STATOIL),,NORWAY,NOR,D35
198607066,1,B2360,GECO AS,,NORWAY,NOR,C19
198607067,1,B4022,A/S NORDLANDSBANKEN,,NORWAY,NOR,K64
198607068,1,B4798,SAGA PETROLEUM AS,,NORWAY,NOR,C19
198607069,1,B5252,SPAREBANKEN MIDT-NORGE,,NORWAY,NOR,K64
198607070,1,B5254,SPAREBANKEN NORD,,NORWAY,NOR,K64
198607071,1,B2506,SULTANATE OF OMAN,,OMAN,OMN,O84
198607072,1,B1503,COMPANHIA NACIONAL DE PETROQUIMICA,CNP,PORTUGAL,PRT,C20
198607073,1,B1503,COMPANHIA NACIONAL DE PETROQUIMICA,CNP,PORTUGAL,PRT,C20
198607074,1,B1602,CORREIOS E TELECOMMUNICACOES DE PORTUGALL,CTT,PORTUGAL,PRT,H53
198607075,1,B1210,CEREBOS PACIFIC LTD,,SINGAPORE,SGP,C10
198607076,1,B2097,EUROPISTAS CONCESIONARIA ESPANOLA SA,,SPAIN,ESP,F41
198607077,1,B2168,FERROCARRILS DE LA GENERALITAT DE CATALUNYA,,SPAIN,ESP,H49
198607078,1,B2740,HIDROELECTRICA IBERICA IBERDUERO SA,,SPAIN,ESP,D35
198607079,1,B2740,HIDROELECTRICA IBERICA IBERDUERO SA,,SPAIN,ESP,D35
198607080,1,B2977,INSTITUTO DE CREDITO OFICIAL,ICO,SPAIN,ESP,K64
