,original_index,PKGID,ORDER,BORROWERID,BORROWER,CLEAN_BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,CLUSTER,IMPUTED,,
7360,7360,198409015,1,B1302,CHRYSLER CREDIT CANADA,CHRYSLER CREDIT CANADA,,CANADA,CAN,K64,3316,0,,
7442,7442,198409091,1,B1302,CHRYSLER CORPORATION,CHRYSLER CORPORATION,,UNITED STATES,USA,C32,4087,0,,
7565,7565,198410102,1,B1302,CHRYSLER FINANCIAL CORPORATION,CHRYSLER FINANCIAL CORPORATION,,UNITED STATES,USA,K64,4086,0,,
7969,7969,198505017,1,B1302,CHRYSLER CREDIT CANADA LTD,CHRYSLER CREDIT CANADA LTD,,CANADA,CAN,K64,3317,0,,
7970,7970,198505018,1,B1302,CHRYSLER CREDIT CANADA LTD,CHRYSLER CREDIT CANADA LTD,,CANADA,CAN,K64,3317,0,,
8042,8042,198505086,1,B1302,CHRYSLER FINANCIAL CORP,CHRYSLER FINANCIAL CORP,CCC,UNITED STATES,USA,K64,3489,0,,
8282,8282,198508024,1,B1302,CHRYSLER CREDIT CANADA LTD,CHRYSLER CREDIT CANADA LTD,,CANADA,CAN,K64,3317,0,,
8743,8743,198512074,1,B1302,CHRYSLER FINANCIAL CORP,CHRYSLER FINANCIAL CORP,,UNITED STATES,USA,K64,3489,0,,
9902,9902,198612023,1,B1302,CHRYSLER CANADA,CHRYSLER CANADA,,CANADA,CAN,C32,5876,0,,
10187,10187,198702021,1,B1302,CHRYSLER CREDIT CANADA,CHRYSLER CREDIT CANADA,,CANADA,CAN,C29,3316,0,,
11263,11263,198709179,1,B1302,CHYRSLER FINANCIAL CORP,CHYRSLER FINANCIAL CORP,,US,USA,K64,3499,0,,
12238,12238,198805103,1,B1302,CHRYSLER FINANCIAL CORP,CHRYSLER FINANCIAL CORP,CFC,UNITED STATES,USA,K64,3489,0,,
12907,12907,198810141,1,B1302,CHRYSLER FINANCIAL CORP,CHRYSLER FINANCIAL CORP,CFC,UNITED STATES,USA,K64,3489,0,,
14587,14587,199003114,1,B1302,CHRYSLER FINANCIAL CORP,CHRYSLER FINANCIAL CORP,,USA,USA,K64,3489,0,,
9153,9153,198605042,1,B1303,CHUAN HUP MARINE LTD,CHUAN HUP MARINE LTD,,SINGAPORE,SGP,K64,2662,0,,
13015,13015,198811086,1,B1304,CHUDOVO-RWS,CHUDOVORWS,,U.S.S.R,SUN,C17,7602,0,,
14333,14333,199001044,1,B1305,CHUGAI PHARMACEUTICAL CO LTD,CHUGAI PHARMACEUTICAL CO LTD,,JAPAN,JPN,C21,1885,0,,
10088,10088,198701042,1,B1307,CHUO TRUST & BANKING CO,CHUO TRUST BANKING CO,,JAPAN,JPN,K64,5641,0,,
12509,12509,198808040,1,B1307,CHUO TRUST ASIA,CHUO TRUST ASIA,,JAPAN,JPN,K64,5670,0,,
14768,14768,199005020,1,B1307,CHUO TRUST & BANKING CO LTD,CHUO TRUST BANKING CO LTD,,HONG KONG,HKG,K64,5644,0,,
8812,8812,198601056,1,B1308,CHURCHILL PLAZA DEVELOPMENT,CHURCHILL PLAZA DEVELOPMENT,,UNITED KINGDOM,GBR,K64,3990,0,,
4067,4067,198108026,1,B1311,COMPANHIA BRASILEIRO DE CRISTAL,COMPANHIA BRASILEIRO DE CRISTAL,CEBRACE,BRAZIL,BRA,Unknown,803,1,,
2694,2694,198001033,1,B1313,COMPANIA CERVECERIAS UNIDAS,COMPANIA CERVECERIAS UNIDAS,,CHILE,CHL,C32,6605,0,,
3474,3474,198101022,1,B1313,COMPANIA CERVECERIAS UNIDAS SA,COMPANIA CERVECERIAS UNIDAS SA,,CHILE,CHL,C11,6601,0,,
4402,4402,198111050,1,B1313,COMPANIA CERVECERIAS UNIDAS SA,COMPANIA CERVECERIAS UNIDAS SA,,CHILE,CHL,C11,6601,0,,
4403,4403,198111051,1,B1313,COMPANIA CERVECERIAS UNIDAS SA,COMPANIA CERVECERIAS UNIDAS SA,,CHILE,CHL,C11,6601,0,,
426,426,197507003,1,B1314,"CIA CERVEJARIA BRAHMA, BRAZIL",CIA CERVEJARIA BRAHMA BRAZIL,,BRAZIL,BRA,C10,6868,0,,
2360,2360,197908023,1,B1316,COMPANHIA DE DESENVOLVIMENTO DO VALE DO PARAGUACU,COMPANHIA DE DESENVOLVIMENTO DO VALE DO PARAGUACU,,,BRA,Unknown,436,3,,
7802,7802,198503010,1,B1316,COMPANHIA DE DESENVOLVIMIENTO DE VALE DO PARAGUACU-DESENVALE,COMPANHIA DE DESENVOLVIMIENTO DE VALE DO PARAGUACUDESENVALE,,BRAZIL,BRA,Unknown,804,1,,
1218,1218,197711033,1,B1317,METRO-COMPANHIA DO METROPOLITANO DO RIO DE JANEIRO,METROCOMPANHIA DO METROPOLITANO DO RIO DE JANEIRO,,BRAZIL,BRA,Unknown,433,1,,
1970,1970,197902018,1,B1317,COMPANHIA DO METROPOLITANO DO RIO DE JANEIRO,COMPANHIA DO METROPOLITANO DO RIO DE JANEIRO,,BRAZIL,BRA,Unknown,438,1,,
1971,1971,197902019,1,B1317,COMPANHIA DO METROPOLITANO DO RIO DE JANEIRO,COMPANHIA DO METROPOLITANO DO RIO DE JANEIRO,,BRAZIL,BRA,Unknown,438,1,,
1713,1713,197810018,1,B1318,COMPANIA DOMINICANA DE TELEFONOS,COMPANIA DOMINICANA DE TELEFONOS,,DOMINICAN REPUBLIC,DOM,J61,880,0,,
3680,3680,198104015,1,B1319,COMPANIA ESPANOLA DE PETROLEOS SA,COMPANIA ESPANOLA DE PETROLEOS SA,CEPSA,SPAIN,ESP,C19,790,0,,
7657,7657,198411086,1,B1319,COMPANIA ESPANOLA DE GAS,COMPANIA ESPANOLA DE GAS,CEGAS,SPAIN,ESP,D35,594,0,,
2811,2811,198002027,1,B1321,CIA IBERICA REFINADORA DE PETROLEOS SA,CIA IBERICA REFINADORA DE PETROLEOS SA,PETROLIBER,SPAIN,ESP,Unknown,758,1,,
2159,2159,197905024,1,B1322,COMPANIA INDUSTRIAL,COMPANIA INDUSTRIAL,,,CHL,Unknown,2256,3,,
3756,3756,198105034,1,B1322,COMPANIA INDUSTRIAL SA,COMPANIA INDUSTRIAL SA,,CHILE,CHL,Unknown,2257,1,,
1133,1133,197709008,1,B1323,COMPANIA MANUFACTURERA DE PAPELES Y CARTONES,COMPANIA MANUFACTURERA DE PAPELES Y CARTONES,,CHILE,CHL,Unknown,882,1,,
2586,2586,197912028,1,B1323,COMPANIA MANUFACTURERA DE PAPELES Y CARTONES SA,COMPANIA MANUFACTURERA DE PAPELES Y CARTONES SA,CMPC,CHILE,CHL,Unknown,661,1,,
13996,13996,198910044,1,B1324,MEXICANA DE COBRE,MEXICANA DE COBRE,MEXCOBRE,MEXICO,MEX,B07,890,0,,
932,932,197701045,2,B1327,COMPANHIA SIDERURGICA PAULISTA,COMPANHIA SIDERURGICA PAULISTA,COSIPA,BRAZIL,BRA,C24,461,0,,
7966,7966,198505014,1,B1327,COMPANHIA SIDERURGICA PAULISTA,COMPANHIA SIDERURGICA PAULISTA,COSIPA,BRAZIL,BRA,C24,461,1,,
530,530,197511005,1,B1329,"CIBA-GEIGY (G.F.S.) LIMITED, LONDON",CIBAGEIGY GFS LIMITED LONDON,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,C21,5987,0,,
9993,9993,198612111,1,B1329,CIBA-GEIGY (FINANCIAL SERVICES) LTD,CIBAGEIGY FINANCIAL SERVICES LTD,,UNITED KINGDOM,GBR,C20,5567,0,,
11887,11887,198802067,1,B1329,CIBA-GEIGY INTERNATIONAL NETHERLAND BV,CIBAGEIGY INTERNATIONAL NETHERLAND BV,,SWITZERLAND,CHE,C21,1524,0,,
5525,5525,198210024,1,B1330,CIE BELGE POUR LE FINANCEMENT DE L'INDUSTRIE,CIE BELGE POUR LE FINANCEMENT DE LINDUSTRIE,,BELGIUM,BEL,Unknown,919,1,,
1666,1666,197809010,1,B1331,COMPAGNIE DES BAUXITES DE GUINEE,COMPAGNIE DES BAUXITES DE GUINEE,,GUINEA,GIN,B07,6223,0,,
2585,2585,197912027,1,B1331,COMPAGNIE DES BAUXITES DE GUINEE,COMPAGNIE DES BAUXITES DE GUINEE,,GUINEA,GIN,B05,6223,1,,
6708,6708,198402024,1,B1331,COMPAGNIE DES BAUXITES DE GUINEE,COMPAGNIE DES BAUXITES DE GUINEE,,GUINEA,GIN,B05,6223,0,,
8455,8455,198510017,1,B1331,COMPAGNIE DES BAUXITES DE GUINEE,COMPAGNIE DES BAUXITES DE GUINEE,,GUINEA,GIN,B05,6223,0,,
1197,1197,197711012,1,B1332,COMPAGNIE NATIONALE ALGERIEENNE DE NAVIGATION,COMPAGNIE NATIONALE ALGERIEENNE DE NAVIGATION,,ALGERIA,DZA,Unknown,6224,1,,
1469,1469,197805019,1,B1332,COMPAGNIE NATIONALE ALGERIENNE DE NAVIGATION,COMPAGNIE NATIONALE ALGERIENNE DE NAVIGATION,,ALGERIA,DZA,Unknown,6225,1,,
6980,6980,198405068,1,B1333,CIE TOURISTIQUE ARABE,CIE TOURISTIQUE ARABE,,TUNISIA,TUN,J58,7770,0,,
6819,6819,198403017,1,B1334,CIGALA & BERTINETTI INDUSTRIE SPA,CIGALA BERTINETTI INDUSTRIE SPA,,ITALY,ITA,I56,4987,0,,
8354,8354,198508094,1,B1335,CIGNA CORP,CIGNA CORP,,UNITED STATES,USA,Q86,3808,0,,
2213,2213,197906016,1,B1336,CIMENT D'ANTSIRABE,CIMENT DANTSIRABE,,,Unknown,Unknown,7667,3,,
4647,4647,198201029,1,B1339,CIMENTO NACIONAL DE MINAS SA,CIMENTO NACIONAL DE MINAS SA,CIMINAS,BRAZIL,BRA,Unknown,1230,1,,
4648,4648,198201030,1,B1339,CIMENTO NACIONAL DE MINAS SA,CIMENTO NACIONAL DE MINAS SA,CIMINAS,BRAZIL,BRA,Unknown,1230,1,,
1407,1407,197804009,1,B1340,CIMPOR-CIMENTOS DE PORTUGAL,CIMPORCIMENTOS DE PORTUGAL,,PORTUGAL,PRT,C23,393,0,,
3564,3564,198102025,1,B1340,CIMENTOS DE PORTUGAL,CIMENTOS DE PORTUGAL,CIMPOR,PORTUGAL,PRT,C23,394,0,,
7448,7448,198409097,1,B1341,LAFARGE CORPORATION,LAFARGE CORPORATION,,UNITED STATES,USA,C32,4146,0,,
11940,11940,198803017,1,B1341,LAFARGE COPPEE SA,LAFARGE COPPEE SA,,FRANCE,FRA,C32,4701,0,,
14641,14641,199004029,1,B1341,LAFARGE COPPEE,LAFARGE COPPEE,,FRANCE,FRA,C32,7886,0,,
8163,8163,198507028,1,B1342,CINDIC HOTEL INVESTMENT CO,CINDIC HOTEL INVESTMENT CO,,CHINA,CHN,K64,1731,0,,
8129,8129,198506074,1,B1343,CINEPLEX CORP,CINEPLEX CORP,,USA,USA,R90,3812,0,,
4063,4063,198108022,1,B1344,CINFUSA SA,CINFUSA SA,,MEXICO,MEX,Unknown,4543,1,,
4064,4064,198108023,1,B1344,CINFUSA SA,CINFUSA SA,,MEXICO,MEX,Unknown,4543,1,,
9316,9316,198607040,1,B1345,CIR INTERNATIONAL SA,CIR INTERNATIONAL SA,,ITALY,ITA,M70,1412,1,,
11478,11478,198711033,1,B1345,CIR INTERNATIONAL SA,CIR INTERNATIONAL SA,,ITALY,ITA,M70,1412,0,,
12171,12171,198805041,1,B1345,CIR INTERNATIONAL SA,CIR INTERNATIONAL SA,,ITALY,ITA,M70,1412,0,,
13777,13777,198908028,1,B1345,CIR INTERNATIONAL,CIR INTERNATIONAL,,ITALY,ITA,M70,1570,0,,
13914,13914,198909065,1,B1346,CIRCLE 33 HOUSING TRUST,CIRCLE 33 HOUSING TRUST,,UNITED KINGDOM,GBR,L68,5660,0,,
9108,9108,198604069,1,B1347,CIT FINANCIAL CORP,CIT FINANCIAL CORP,,UNITED STATES,USA,K64,3504,0,,
12451,12451,198807090,1,B1347,CIT GROUP HOLDINGS INC,CIT GROUP HOLDINGS INC,,USA,USA,K64,8564,0,,
12571,12571,198808102,1,B1347,CIT HOLDINGS INC,CIT HOLDINGS INC,,UNITED STATES,USA,K64,8950,0,,
9776,9776,198611027,1,B1348,CITIC AUSTRALIA (PORTLAND) PTY LTD,CITIC AUSTRALIA PORTLAND PTY LTD,,CHINA,CHN,C24,2298,0,,
12141,12141,198805012,1,B1348,CITIC HONG KONG HOLDINGS,CITIC HONG KONG HOLDINGS,,CHINA,CHN,K64,2228,0,,
12802,12802,198810036,1,B1348,CITIC INDUSTRIAL BANK,CITIC INDUSTRIAL BANK,,CHINA,CHN,K64,192,0,,
13524,13524,198906020,1,B1348,CITIC HONG KONG (HOLDINGS),CITIC HONG KONG HOLDINGS,,CHINA,CHN,K64,2228,0,,
14758,14758,199005010,1,B1348,CITIC TELECOMMUNICATIONS (HOLDINGS) LTD,CITIC TELECOMMUNICATIONS HOLDINGS LTD,,CHINA,CHN,J61,8895,0,,
4065,4065,198108024,1,B1349,CITICORP FINANZIARIA SPA,CITICORP FINANZIARIA SPA,,ITALY,ITA,K64,4965,0,,
5048,5048,198205027,1,B1349,CITIBANK BRAZIL,CITIBANK BRAZIL,,BRAZIL,BRA,K64,6869,0,,
5049,5049,198205028,1,B1349,CITIBANK BRAZIL,CITIBANK BRAZIL,,BRAZIL,BRA,K64,6869,0,,
5188,5188,198206015,1,B1349,CITIBANK,CITIBANK,,UNITED STATES,USA,K64,6870,0,,
5269,5269,198207031,1,B1349,FIRST CITICORP LEASING,FIRST CITICORP LEASING,,SOUTH KOREA,KOR,K64,5738,1,,
5270,5270,198207032,1,B1349,FIRST CITICORP LEASING,FIRST CITICORP LEASING,,SOUTH KOREA,KOR,K64,5738,1,,
5373,5373,198208052,1,B1349,FIRST CITICORP LEASING,FIRST CITICORP LEASING,,SOUTH KOREA,KOR,K64,5738,0,,
6899,6899,198404040,1,B1349,CITIBANK FINANCIAL TRUST LTD,CITIBANK FINANCIAL TRUST LTD,,UNITED KINGDOM,GBR,K64,2603,1,,
7957,7957,198505005,1,B1349,CITICORP CAPITAL MARKETS AUSTRALIA LTD,CITICORP CAPITAL MARKETS AUSTRALIA LTD,,AUSTRALIA,AUS,K64,2318,0,,
8833,8833,198602006,1,B1349,CITIBANK LTD,CITIBANK LTD,,AUSTRALIA,AUS,K64,2605,0,,
8948,8948,198602107,1,B1349,CITICORP,CITICORP,,UNITED STATES,USA,K64,7167,1,,
9341,9341,198607063,1,B1349,CITIBANK A/S,CITIBANK AS,,NORWAY,NOR,K64,5253,1,,
10804,10804,198706069,1,B1349,CITIBANK TRUST LTD,CITIBANK TRUST LTD,,UK,GBR,K64,2604,0,,
11894,11894,198802074,1,B1349,CITIBANK TRUST,CITIBANK TRUST,CTL,UNITED KINGDOM,GBR,K64,5658,0,,
12019,12019,198803092,1,B1349,CITICORP,CITICORP,,UNITED STATES,USA,K64,7167,0,,
12550,12550,198808081,1,B1349,CITIBANK TRUST,CITIBANK TRUST,,UNITED KINGDOM,GBR,K64,5658,0,,
4305,4305,198110017,1,B1350,CITIES SERVICE,CITIES SERVICE,,UNITED STATES OF AMERICA (THE),USA,D35,7023,0,,
8355,8355,198508095,1,B1351,CITIZENS & SOUTHERN GEORGIA CORP,CITIZENS SOUTHERN GEORGIA CORP,,UNITED STATES,USA,K64,3650,0,,
8429,8429,198509064,1,B1351,CITIZENS & SOUTHERN GEORGIA CORP,CITIZENS SOUTHERN GEORGIA CORP,,UNITED STATES,USA,K64,3650,0,,
8493,8493,198510055,1,B1351,CITIZENS & SOUTHERN GEORGIA CORP,CITIZENS SOUTHERN GEORGIA CORP,,UNITED STATES,USA,K64,3650,0,,
2,2,197401003,1,B1352,CITIZENS AND SOUTHERN REALTY INVESTORS,CITIZENS SOUTHERN REALTY INVESTORS,,UNITED STATES OF AMERICA (THE),USA,C54,7243,0,,
8402,8402,198509037,1,B1353,CNB LEASING CO,CNB LEASING CO,,KOREA,KOR,N77,1911,0,,
9814,9814,198611063,1,B1353,CNB LEASING CO LTD,CNB LEASING CO LTD,,KOREA,KOR,N77,1912,0,,
11102,11102,198709044,2,B1354,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,FRANCE,FRA,C29,7300,0,,
11895,11895,198802075,1,B1355,CITY & PROVINCIAL HOME LOANS,CITY PROVINCIAL HOME LOANS,,UNITED KINGDOM,GBR,K64,7981,0,,
12422,12422,198807063,1,B1355,CITY & PROVINCIAL HOME LOANS,CITY PROVINCIAL HOME LOANS,,UK,GBR,K64,7981,0,,
6555,6555,198311110,1,B1356,CITY INVESTING COMPANY,CITY INVESTING COMPANY,,UNITED STATES,USA,K64,3211,0,,
7170,7170,198407096,1,B1356,CITY INVESTING CO,CITY INVESTING CO,,UNITED STATES,USA,K64,1822,0,,
7559,7559,198410096,1,B1356,CITY INVESTING CO,CITY INVESTING CO,,UNITED STATES,USA,K64,1822,0,,
6814,6814,198403012,1,B1357,CITY POLYTECHNIC OF HONG KONG,CITY POLYTECHNIC HONG KONG,,HONG KONG,HKG,Unknown,2236,1,,
13039,13039,198811110,1,B1358,CIVIL SERVICE SUPPLY ASSOCIATION,CIVIL SERVICE SUPPLY ASSOCIATION,,UNITED KINGDOM,GBR,G47,7026,0,,
11416,11416,198710112,1,B1359,CL ACQUISITION CORP,CL ACQUISITION CORP,,UNITED STATES,USA,K65,3592,0,,
11417,11417,198710113,1,B1359,CL ACQUISITION CORP,CL ACQUISITION CORP,,UNITED STATES,USA,K65,3592,0,,
799,799,197610006,1,B1360,CLAM PETROLEUM COMPANY,CLAM PETROLEUM COMPANY,,NETHERLAND,NLD,B06,5624,0,,
11393,11393,198710090,1,B1361,CLARES EQUIPMENT GROUP,CLARES EQUIPMENT GROUP,,UNITED KINGDOM,GBR,C27,8681,0,,
6464,6464,198311019,1,B1362,CLARK EQUIPMENT CREDIT OF CANADA LTD,CLARK EQUIPMENT CREDIT CANADA LTD,,CANADA,CAN,C28,3318,1,,
10188,10188,198702022,1,B1362,CLARK EQUIPMENT CREDIT OF CANADA,CLARK EQUIPMENT CREDIT CANADA,,CANADA,CAN,C28,3320,0,,
14114,14114,198911075,1,B1363,CLAYFORM PROPERTIES,CLAYFORM PROPERTIES,,UNITED KINGDOM,GBR,Unknown,6526,1,,
8949,8949,198602108,1,B1364,CLEAR TV CABLE ASSOCIATES,CLEAR TV CABLE ASSOCIATES,,UNITED STATES,USA,J61,6659,0,,
856,856,197611035,1,B1365,THE CLEVELAND ELECTRIC ILLUMINATING CO,CLEVELAND ELECTRIC ILLUMINATING CO,,UNITED STATES OF AMERICA (THE),USA,D35,1628,0,,
3473,3473,198101021,1,B1365,CLEVELAND ELECTRIC COMPANY,CLEVELAND ELECTRIC COMPANY,,UNITED STATES OF AMERICA (THE),USA,D35,2969,0,,
6007,6007,198302135,1,B1365,CLEVELAND ELECTRIC ILLUMINIATING CO,CLEVELAND ELECTRIC ILLUMINIATING CO,,UNITED STATES,USA,D35,1629,0,,
6679,6679,198401060,1,B1366,CLEVEPAK CORPORATION,CLEVEPAK CORPORATION,,UNITED STATES,USA,Unknown,4134,1,,
11418,11418,198710114,1,B1367,CLIPPER ACQUISITION CORP,CLIPPER ACQUISITION CORP,,UNITED STATES,USA,K64,3595,0,,
958,958,197701069,1,B1368,"CLORO DE TEHUANTEPEC SA DE CV, MEXICO",CLORO DE TEHUANTEPEC SA DE CV MEXICO,,MEXICO,MEX,C20,658,0,,
13040,13040,198811111,1,B1369,CLOSE ASSET FINANCE,CLOSE ASSET FINANCE,,UNITED KINGDOM,GBR,K64,2132,0,,
13915,13915,198909066,1,B1369,CLOSE ASSET FINANCE,CLOSE ASSET FINANCE,,UNITED KINGDOM,GBR,K64,2132,0,,
8481,8481,198510043,1,B1370,CLUB 24 LTD,CLUB 24 LTD,,UNITED KINGDOM,GBR,M70,2797,0,,
9644,9644,198609098,1,B1370,CLUB 24 LTD,CLUB 24 LTD,,UNITED KINGDOM,GBR,M70,2797,0,,
12373,12373,198807019,1,B1371,CLUB MEDITERRANNEE SA,CLUB MEDITERRANNEE SA,,FRANCE,FRA,N79,4659,0,,
12493,12493,198808024,1,B1371,CLUB MEDITERRANGEE SA,CLUB MEDITERRANGEE SA,,FRANCE,FRA,N79,4660,0,,
9013,9013,198603040,1,B1372,CLYDE PETROLEUM PLC,CLYDE PETROLEUM PLC,,UNITED KINGDOM,GBR,C19,8735,0,,
14115,14115,198911076,1,B1372,CLYDE PETROLEUM,CLYDE PETROLEUM,,UNITED KINGDOM,GBR,C19,5615,0,,
6837,6837,198403034,2,B1373,CMC CONSTRUCTION,CMC CONSTRUCTION,,SAUDI ARABIA,SAU,F41,6400,0,,
6455,6455,198311010,1,B1374,CMC OILFIELD SERVICES,CMC OILFIELD SERVICES,,BAHRAIN,BHR,C19,5574,0,,
8171,8171,198507036,1,B1375,CO-OP AG,COOP AG,,GERMANY,DEU,M74,6355,0,,
9436,9436,198608025,1,B1375,CO-OP AG,COOP AG,,WEST GERMANY,DEU,M74,6355,0,,
9692,9692,198610017,1,B1375,CO-OP AG,COOP AG,,WEST GERMANY,DEU,M74,6355,0,,
11328,11328,198710034,1,B1375,COOPAG FINANCE BV,COOPAG FINANCE BV,,GERMANY WEST,DEU,M74,2069,1,,
13338,13338,198902021,1,B1375,COOP FINANCE BV,COOP FINANCE BV,,GERMANY,DEU,G47,2073,0,,
14558,14558,199003086,1,B1376,CIS MORTGAGE MAKER LTD,CIS MORTGAGE MAKER LTD,,UK,GBR,K64,2773,0,,
13041,13041,198811112,1,B1377,CO-OPERATIVE INSURANCE SOCIETY,COOPERATIVE INSURANCE SOCIETY,CIS,UNITED KINGDOM,GBR,K65,7991,0,,
13042,13042,198811113,1,B1377,CO-OPERATIVE INSURANCE SOCIETY,COOPERATIVE INSURANCE SOCIETY,CIS,UNITED KINGDOM,GBR,K65,7991,0,,
5526,5526,198210025,1,B1378,COAL CLIFF COLLIERIES PTY,COAL CLIFF COLLIERIES PTY,,AUSTRALIA,AUS,B07,7060,0,,
13547,13547,198906043,1,B1379,COAL CORPORATION OF NEW ZEALAND,COAL CORPORATION NEW ZEALAND,,NEW ZEALAND,NZL,B07,3900,0,,
6488,6488,198311043,1,B1380,COAL INDIA LTD,COAL INDIA LTD,,INDIA,IND,B05,2707,0,,
4066,4066,198108025,1,B1381,COALEX DEVELOPMENT FINANCE PTY,COALEX DEVELOPMENT FINANCE PTY,,AUSTRALIA,AUS,Unknown,3977,1,,
2268,2268,197907024,1,B1382,COASTAL STATES TRADING (UK) LTD,COASTAL STATES TRADING UK LTD,,,USA,D35,2442,3,,
2686,2686,198001025,1,B1382,COASTAL STATES EUROPE LTD,COASTAL STATES EUROPE LTD,,UNITED KINGDOM,GBR,O84,2443,0,,
6008,6008,198302136,1,B1382,COASTAL CORPORATION,COASTAL CORPORATION,,UNITED STATES,USA,D35,4110,0,,
6439,6439,198309080,1,B1382,COASTAL CORPORATION CONNECTION,COASTAL CORPORATION CONNECTION,,UNITED STATES,USA,D35,4111,0,,
7948,7948,198504077,1,B1382,COASTAL CORPORATION,COASTAL CORPORATION,,UNITED STATES,USA,D35,4110,0,,
8044,8044,198505088,1,B1382,COASTAL CORPORATION,COASTAL CORPORATION,CCA,UNITED STATES,USA,D35,4110,0,,
11634,11634,198712069,1,B1382,COASTAL CORP (CAPITOL DISTRICT ENERGY CENTER COGENERATION ASSOCIATES),COASTAL CORP CAPITOL DISTRICT ENERGY CENTER COGENERATION ASSOCIATES,,UNITED STATES,USA,D35,3717,0,,
13301,13301,198901109,1,B1382,COASTAL CORP,COASTAL CORP,,UNITED STATES,USA,C10,3835,0,,
985,985,197701096,1,B1383,COATS PATONS LIMITED,COATS PATONS LIMITED,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,C13,6481,0,,
11990,11990,198803064,1,B1383,COATES PLC,COATES PLC,,UNITED KINGDOM,GBR,C32,8840,0,,
5345,5345,198208025,1,B1384,COCA-COLA BOTTLERS PHILIPPINES INC,COCACOLA BOTTLERS PHILIPPINES INC,,PHILIPPINES,PHL,C11,8311,1,,
9867,9867,198611116,1,B1384,COCA-COLA ENTERPRISES INC,COCACOLA ENTERPRISES INC,,UNITED STATES,USA,C11,8291,0,,
10023,10023,198612140,1,B1384,COCA-COLA ENTERPRISES INC,COCACOLA ENTERPRISES INC,,UNITED STATES,USA,C11,8291,0,,
10698,10698,198705114,1,B1384,COCA COLA ENTERPRISES INC,COCA COLA ENTERPRISES INC,,US,USA,C11,8293,0,,
4965,4965,198204031,1,B1385,COCKERILL SAMBRE,COCKERILL SAMBRE,,BELGIUM,BEL,C24,6986,0,,
4966,4966,198204032,1,B1385,COCKERILL SAMBRE,COCKERILL SAMBRE,,BELGIUM,BEL,C24,6986,0,,
4967,4967,198204033,1,B1385,COCKERILL SAMBRE,COCKERILL SAMBRE,,BELGIUM,BEL,C24,6986,0,,
4968,4968,198204034,1,B1385,COCKERILL SAMBRE,COCKERILL SAMBRE,,BELGIUM,BEL,C24,6986,0,,
8567,8567,198511061,1,B1386,COE & CLERICI SPA,COE CLERICI SPA,,ITALY,ITA,B09,4999,0,,
7917,7917,198504046,1,B1387,COFFEE BOARD OF KENYA,COFFEE BOARD KENYA,,KENYA,KEN,O84,6447,0,,
9333,9333,198607055,1,B1387,COFFEE BOARD OF KENYA,COFFEE BOARD KENYA,,KENYA,KEN,O84,6447,0,,
13543,13543,198906039,1,B1387,COFFEE BOARD OF KENYA,COFFEE BOARD KENYA,,KENYA,KEN,O84,6447,1,,
6009,6009,198302137,1,B1388,COFFEE CREDIT CORPORATION,COFFEE CREDIT CORPORATION,,UNITED STATES,USA,Unknown,4033,1,,
10543,10543,198704065,2,B1389,COFIC,COFIC,,SPAIN,ESP,Q88,7563,0,,
3748,3748,198105026,1,B1390,COGASCO SA,COGASCO SA,,ARGENTINA,ARG,S96,4534,0,,
3749,3749,198105027,1,B1390,COGASCO SA,COGASCO SA,,ARGENTINA,ARG,S96,4534,0,,
3750,3750,198105028,1,B1390,COGASCO SA,COGASCO SA,,ARGENTINA,ARG,S96,4534,0,,
3751,3751,198105029,1,B1390,COGASCO SA,COGASCO SA,,ARGENTINA,ARG,S96,4534,0,,
14305,14305,199001016,1,B1391,COGECOM,COGECOM,,FRANCE,FRA,D35,7653,0,,
2043,2043,197903018,1,B1392,COGEFAR HOLDING,COGEFAR HOLDING,,,Unknown,Unknown,7099,3,,
8124,8124,198506069,1,B1393,COGEN LYONDELL INC,COGEN LYONDELL INC,,USA,USA,D35,8395,0,,
10431,10431,198703138,1,B1394,COLEMAN CO INC,COLEMAN CO INC,,UNITED STATES,USA,R93,8138,0,,
8430,8430,198509065,1,B1395,COLGATE-PALMOLIVE,COLGATEPALMOLIVE,,UNITED STATES,USA,C32,7544,0,,
3752,3752,198105030,1,B1396,COLOCADORA NACIONAL DE VALORES BANCO DE FOMENTO,COLOCADORA NACIONAL DE VALORES BANCO DE FOMENTO,,CHILE,CHL,K64,1107,0,,
7700,7700,198412006,1,B1398,COLOR TILE INC,COLOR TILE INC,,CANADA,CAN,G45,8388,0,,
7701,7701,198412007,1,B1398,COLOR TILE INC,COLOR TILE INC,,CANADA,CAN,G45,8388,0,,
6440,6440,198309080,2,B1399,COLORADO INTERSTATE CORPORATION,COLORADO INTERSTATE CORPORATION,,UNITED STATES,USA,D35,4192,0,,
6794,6794,198402106,1,B1399,COLORADO INTERSTATE CORPORATION,COLORADO INTERSTATE CORPORATION,,UNITED STATES,USA,D35,4192,0,,
8431,8431,198509066,1,B1399,COLORADO INTERSTATE CORP,COLORADO INTERSTATE CORP,CIC,UNITED STATES,USA,D35,3654,0,,
