,PKGID,ORDER,BORROWERID,BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,TYPE,PURPOSE,IMPUTED
0,197401001,1,B4293,P.E. BENTESEN A/S,,DENMARK,DNK,,,,1
1,197401002,1,B1162,CENTRAIS ELECTRICAS DE GOIAS,,BRAZIL,BRA,D35,,,0
2,197401003,1,B1352,CITIZENS AND SOUTHERN REALTY INVESTORS,,UNITED STATES,USA,C54,,,0
3,197401004,1,B1415,COMISION FEDERAL DE ELECTRICIDAD,,MEXICO,MEX,D35,,,0
4,197401005,1,B1639,CREDIT POPULAIRE D'ALGERIE,,ALGERIA,DZA,K64,,,0
5,197401006,1,B1639,CREDIT POPULAIRE D'ALGERIE,,ALGERIA,DZA,K64,,,0
6,197401007,1,B1732,"DEEP SEA DRILLING COMPANY, BERGEN",,NORWAY,NOR,B06,,,0
7,197401008,1,B1763,DEN DANSKE STAALVASEVAERK A/S,,DENMARK,DNK,C24,,,1
8,197401009,1,B2231,FIRST MORTGAGE INVESTORS,,UNITED STATES,USA,K64,,,0
9,197401010,1,B2234,FIRST NATIONAL FINANCE CORPORATION,,UNITED KINGDOM,GBR,K64,,,0
10,197401011,1,B2595,GRUPO CIMENTO PARAISO,,BRAZIL,BRA,C32,,,1
11,197401012,1,B2980,INSTITYTO DE FOMENTO NACIONAL,,NICARAGUA,NIC,O84,,,0
12,197401013,1,B3500,LONDON AND OVERSEAS PROPERTY AND INVESTMENT COMPANY LIMITED,,UNITED KINGDOM,GBR,K64,,,0
13,197401014,1,B3563,MALLOW LINE (SHIPPING) CORPORATION,,,,H50,,,2
14,197401015,1,B4340,PERSIAN OIL TANKER CORPORATION,,,,H50,,,2
15,197401016,1,B2080,EURO SHIPPING CORPORATION,,,,H50,,,2
16,197401017,1,B3705,METROPOLITAN PROPERTY HOLDINGS LIMITED,,GHANA,GHA,L68,,,0
17,197401018,1,B4161,OLJEKONSUMENTERNAS FORBUND,,SWEDEN,SWE,O84,,,1
18,197401019,1,B4342,"PERTAMINA, INDONESIA",,INDONESIA,IDN,N82,,,0
19,197401020,1,B2457,"THE STATE OF PARA, BRAZIL",,BRAZIL,BRA,O84,,,0
20,197401021,1,B2506,THE SULTAN OF OMAN,,OMAN,OMN,O84,,,0
21,197401022,1,B5383,SUPERINTENDENCIA NACIONAL DA MARINHA MERCANTE,SUNAMAM,BRAZIL,BRA,N82,,,0
22,197401023,1,B2540,THE GOVERNMENT OF TRINIDAD AND TOBAGO,,TRINIDAD & TOBAGO,TTO,O84,,,0
23,197401024,1,B5630,TRINIDAD-TESORO PETROLEUM COMPANY LIMITED,,TRINIDAD & TOBAGO,TTO,B08,,,0
24,197401025,1,B3417,TRI-SOUTH MORTAGE INVESTORS,,UNITED STATES,USA,K64,,,0
25,197401026,1,B0292,ANGELICOUSSIS SHIPHOLDING GROUP LIMITED,,GREECE,GRC,H50,,,0
26,197401027,1,B0735,BANQUE EXTERIEURE D'ALGERIE,,ALGERIA,DZA,K64,,,0
27,197401028,1,B0941,BRITISH GAS CORPORATION,,UNITED KINGDOM,GBR,D35,,,0
28,197401029,1,B0943,BRITISH LEYLAND MOTOR CORPORATION LIMITED,,UNITED KINGDOM,GBR,C29,,,0
29,197401030,1,B1128,CAVENHAM LIMITED,,UNITED KINGDOM,GBR,K64,,,0
30,197401031,1,B1163,"CENTRAIS ELETRICAS DE MINAS GERAIS, S.A.",,BRAZIL,BRA,D35,,,0
31,197401032,1,B1415,"COMISION FEDERAL DE ELECTRIDAD, MEXICO",,MEXICO,MEX,O84,,,0
32,197401033,1,B1515,"CONCESSIONI E CONSTRUZIONI AUTOSTRADE, S.P.A.",,ITALY,ITA,H52,,,0
33,197401034,1,B1545,CONSORZIO PER L'AUTOSTRADA MESSINA-CATANIA-SIRACUSA,,ITALY,ITA,H52,,,0
34,197401035,1,B1556,"CONTINENTAL DE CREDITOS MERCANTILES C.A., VENEZUELA",,VENEZUELA,VEN,K64,,,1
35,197401036,1,B2247,FISONS,,UNITED KINGDOM,GBR,C20,,,0
36,197401037,1,B2316,FUERZAS ELECTRICAS DE CATALUNA S.A.,,SPAIN,ESP,D35,,,0
37,197401038,1,B1996,EMPRESA NACIONAL HIDROELECTRICA DEL RIBAGORZANA S.A.,,SPAIN,ESP,D35,,,1
38,197401039,1,B2737,"HIDROELECTRICA DE CATALUNA, S.A.",,SPAIN,ESP,D35,,,0
39,197401040,1,B2318,"FUERZAS HIDROELECTRICAS DEL SERGE, S.A.",,SPAIN,ESP,D35,,,1
40,197401041,1,B2339,"GALLICO INVESTMENTS LIMITED, HONG KONG",,HONG KONG,HKG,K64,,,0
41,197401042,1,B2793,HONG KONG TELEPHONE COMPANY LIMITED,,HONG KONG,HKG,J61,,,0
42,197401043,1,B2948,"INDUSTRIAS UNIDAS, S.A., MEXICO",,MEXICO,MEX,C30,,,0
43,197401044,1,B3547,MAGYAR NEMZETI BANK,MNB,HUNGARY,HUN,K64,,,0
44,197401045,1,B3790,"MONOMEROS COLOMBO-VENEZOLANOS, S.A., COLOMBIA",,COLOMBIA,COL,C20,,,0
45,197401046,1,B4217,P.T. INTERNATIONAL NICKEL INDONESIA,,INDONESIA,IDN,K64,,,0
46,197401047,1,B4564,PUBLIC SERVICE COMPANY OF COLORADO,,UNITED STATES,USA,D35,,,0
47,197401048,1,B5233,SOUTHERN PERU COPPER CORPORATION,SCC,PERU,PER,B07,,,0
48,197401049,1,B2465,THE DEMOCRATIC REPUBLIC OF THE SUDAN,,SUDAN,SDN,O84,,,0
49,197401050,1,B5546,THYSSEN-BORNEMISZA GROUP N.V.,TBG,NETHERLANDS,NLD,J63,,,0
50,197401051,1,B5585,TOWN AND COMMERCIAL PROPERTIES LIMIED,,CANADA,CAN,K64,,,0
51,197401052,1,B0291,ANGELICA MARITIME CORPORATION,,HONG KONG,HKG,H50,,,1
52,197401053,1,B2457,"THE STATE OF BAHIA, BRAZIL",,BRAZIL,BRA,O84,,,0
53,197401054,1,B0722,BANK SANAYE IRAN,,IRAN,IRN,K64,,,0
54,197401055,1,B0987,BURMAH OIL INCORPORATED,,UNITED KINGDOM,GBR,B06,,,0
55,197401056,1,B0987,THE BURMAH OIL COMPANY LIMITED,,UNITED KINGDOM,GBR,B06,,,0
56,197401057,1,B1164,"CENTRAIS ELECTRICAS DE SAO PAULO SA, BRAZIL",,BRAZIL,BRA,D35,,,0
57,197401058,1,B1168,CENTRAL AMERICAN BANK FOR ECONOMIC INTEGRATION,,HONDURAS,HND,K64,,,2
58,197401059,1,B2487,REPUBLIQUE DE COTE D'IVOIRE,,IVORY COAST,CIV,O84,,,0
59,197401060,1,B2172,FEPASA FERROVIA PAULISTA SA,FWPASA,BRAZIL,BRA,H49,,,1
60,197401061,1,B1759,DERSA DESENVOLVIMENTO RODOVIARIO SA,,BRAZIL,BRA,F42,,,0
61,197401062,1,B4677,REPUBLIC OF GABON,,GABON,GAB,O84,,,0
62,197401063,1,B2812,"HOTEL CRILLON SA, LA PAZ",,BOLIVIA,BOL,I55,,,0
63,197401064,1,B2949,INDUSTRIE A. ZANUSSI SPA,,ITALY,ITA,C32,,,0
64,197401065,1,B3268,KOCKUMS MEKANISKA VERSTADS AKTICBOLAG,,SWEDEN,SWE,H50,,,0
65,197401066,1,B2545,COUNTY OF LANARK,,UNITED KINGDOM,GBR,O84,,,0
66,197401067,1,B3485,"LJUBLJANSKA BANKA, YUGOSLAVIA",,YUGOSLAVIA,YUG,K64,,,0
67,197401068,1,B3674,MERCANTILE CREDIT COMPANY LIMITED,,UNITED KINGDOM,GBR,K64,,,0
68,197401069,1,B2496,MEXICO,,MEXICO,MEX,O84,,,0
69,197401070,1,B3793,MONTAGUE L. MEYER LIMITED,,UNITED KINGDOM,GBR,K64,,,0
70,197401071,1,B3850,"NACIONAL FINANCIERA SA, MEXICO",,MEXICO,MEX,O84,,,0
71,197401072,1,B4009,NOORDGASTRANSPORT BV,,NETHERLANDS,NLD,B06,,,0
72,197401073,1,B2511,REPUBLIC OF PERU,,PERU,PER,O84,,,0
73,197401074,1,B4363,PETROLEOS MEXICANOS,,MEXICO,MEX,B06,,,0
74,197401075,1,B4363,PETROLEOS MEXICANOS,,MEXICO,MEX,B06,,,0
75,197401076,1,B4387,PHILIPPINE NATIONAL BANK,,PHILIPPINES,PHL,K64,,,0
76,197401077,1,B4563,"PUBLIC POWER CORPORATION, GREECE",,GREECE,GRC,D35,,,0
77,197401078,1,B4915,SEALANE TANKERS INCORPORATED,,UNITED STATES,USA,H50,,,0
78,197401078,2,B0203,ALLOCEAN TANKERS INCORPORATED,,UNITED STATES,USA,H50,,,0
79,197401078,3,B0337,ARBEIT TANKERS INCORPORATED,,UNITED STATES,USA,H50,,,0
80,197401081,1,B5111,SOCIETA ITALIANA RESINE SPA,,ITALY,ITA,C32,,,0
81,197401082,1,B5297,THE STANDARD OIL COMPANY,,UNITED STATES,USA,B06,,,0
82,197401083,1,B2540,TRINIDAD AND TOBAGO,,TRINIDAD & TOBAGO,TTO,O84,,,0
83,197401084,1,B5822,VARDINOYANNIS SHIPPING GROUP,,GREECE,GRC,H50,,,0
84,197401085,1,B6025,YACIMIENTOS PETROLIFEROS FISCALES,,ARGENTINA,ARG,B06,,,0
85,197401086,1,B2349,GAS DEL ESTADO,,ARGENTINA,ARG,B06,,,0
86,197401087,1,B1050,CAMERON FINANCIAL CORPORATION,,UNITED STATES,USA,K66,,,0
87,197401088,1,B0997,"C. A. VENEZOLANA DE DESARROLLO, SOCIEDAD FINANCIERA",,VENEZUELA,VEN,K64,,,1
88,197401089,1,B1542,"CONSORZIO DI CREDITO PER LE OPERE PUBBLICHE, ITALY",,ITALY,ITA,K64,,,1
89,197401090,1,B1545,CONSORZIO PER L'AUTOSTRADA MESSINA-CATANIA-SIRACUSA,,ITALY,ITA,H49,,,1
90,197401091,1,B1854,"K/S DYVI DRILLING A/S, NORWAY",,NORWAY,NOR,B06,,,0
91,197401092,1,B1921,THE ELECTRICITY COUNCIL,,UNITED KINGDOM,GBR,D35,,,0
92,197401093,1,B2359,GEBRUEDER HISCHMANN,,GERMANY,DEU,G46,,,1
93,197401094,1,B3091,ISTITUTO MOBILIARE ITALIANO,,ITALY,ITA,O84,,,0
94,197401095,1,B3285,THE KOREA DEVELOPMENT BANK,,KOREA,KOR,K64,,,0
95,197401096,1,B3910,"LANDSVIRKJUN, ICELAND",,ICELAND,ISL,D35,,,0
96,197401097,1,B4363,PETROLEOS MEXICANOS,,MEXICO,MEX,C19,,,0
97,197401098,1,B0181,ALISON MORTGAGE INVESTMENT TRUST,,UNITED STATES,USA,K64,,,0
98,197401099,1,B0829,BETICA DE AUTOPISTAS SA,,SPAIN,ESP,F41,,,0
99,197401100,1,B2457,FEDERATIVE REPUBLIC OF BRAZIL,,BRAZIL,BRA,O84,,,0
100,197401101,1,B2457,FEDERATIVE REPUBLIC OF BRAZIL,,BRAZIL,BRA,O84,,,0
101,197401102,1,B2457,"THE GOVERNMENT OF THE STATE OF CEARA, BRAZIL",,BRAZIL,BRA,O84,,,0
102,197401103,1,B1144,CELULOSA ARGENTINA SA,,ARGENTINA,ARG,A02,,,0
103,197401104,1,B1441,COMPAGNIA ARABO EUROPEENNE DE VERRE,,LEBANON,LBN,C10,,,1
104,197401105,1,B1492,COMPANHIA VALE DO RIO DOCE,,BRAZIL,BRA,B07,,,0
105,197401106,1,B1508,COMPANIA TELEFONICA NACIONAL DE ESPANA,,SPAIN,ESP,J61,,,0
106,197401107,1,B0632,BANCO NACIONAL DE CUBA,,CUBA,CUB,K64,,,0
107,197401108,1,B1828,DRAGADOS Y CONSTRUCCIONES GROUP,,SPAIN,ESP,F41,,,0
108,197401109,1,B1838,DUBAI DRY DOCK COMPANY LIMITED,,UNITED ARAB EMIRATES,ARE,H50,,,0
109,197401110,1,B2276,"FONDO AERONAUTICO NACIONAL DEPARTAMENTO ADMINISTRATIVO DE AERONAUTICA CIVIL, COLOMBIA",,COLOMBIA,COL,O84,,,0
110,197401111,1,B4677,GABONESE REPUBLIC,,GABON,GAB,O84,,,0
111,197401112,1,B2545,THE GREATER LONDON COUNCIL,,UNITED KINGDOM,GBR,O84,,,0
112,197401113,1,B0701,BANK OF GREECE,,GREECE,GRC,K64,,,0
113,197401114,1,B3091,ISTITUTO MOBILIARE ITALIANO,,ITALY,ITA,K64,,,0
114,197401115,1,B2484,IRELAND,,IRELAND,IRL,O84,,,0
115,197401116,1,B3485,"LJUBLJANSKA BANK, YUGOSLAVIA",,YUGOSLAVIA,YUG,K64,,,0
116,197401117,1,B2550,YUGOSLAVIA,,YUGOSLAVIA,YUG,O84,,,0
117,197401118,1,B3674,MERCANTILE CREDIT COMPANY LIMITED,,UNITED KINGDOM,GBR,K64,,,0
118,197401119,1,B0568,"BANCO DE LA NACION, PERU",,PERU,PER,K64,,,0
119,197401120,1,B4619,RANK CITY WALL CANADA LIMITED,,CANADA,CAN,K64,,,0
120,197401121,1,B4957,S.G.I. INTERNATIONAL COMPANY,,ITALY,ITA,D35,,,1
121,197401121,2,B0809,BENI IMMOBILI INTERNATIONAL REAL ESTATE CORPORATION,,ITALY,ITA,L68,,,0
122,197401122,1,B5097,SOCIEDADE DE EMPREENDIMENTOS INDUSTRIAIS,,BRAZIL,BRA,O84,,,1
123,197401122,2,B1412,"COMERCIAIS E MINERACAO, BRAZIL",,BRAZIL,BRA,B07,,,0
124,197401123,1,B5564,THE TOKYO ELECTRIC POWER COMPANY INCORPORATED,TEPCO,JAPAN,JPN,D35,,,0
125,197401124,1,B5743,UNITED BISCUITS LIMITED,,UNITED KINGDOM,GBR,I56,,,0
126,197401125,1,B2444,REPUBLIC OF ARGENTINA,,ARGENTINA,ARG,O84,,,0
127,197401126,1,B2446,REPUBLIC OF AUSTRIA,,AUSTRIA,AUT,O84,,,0
128,197401127,1,B0634,BANCO NACIONAL DO DESENVOLVIMENTO ECONOMICO,,BRAZIL,BRA,K64,,,0
129,197401128,1,B0722,BANK SANAYE IRAN,,IRAN,IRN,K64,,,0
130,197401129,1,B2545,THE CITY AND COUNTY OF BRISTOL,,UNITED KINGDOM,GBR,O84,,,0
131,197401130,1,B1034,CAISSE NATIONALE DES TELECOMMUNICATIONS,,FRANCE,FRA,J61,,,0
132,197401131,1,B1049,"CAMELIA SA, PANAMA",,PANAMA,PAN,C31,,,1
133,197401132,1,B1750,"DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MATO GROSSO, BRAZIL",,BRAZIL,BRA,,,,1
134,197401133,1,B1842,"DUBROVACKA BANKA, DUBROVNIK",,YUGOSLAVIA,YUG,K64,,,0
135,197401134,1,B1916,ELECTRICITE DE FRANCE,,FRANCE,FRA,D35,,,0
136,197401135,1,B2124,FABRICA DE TECIDOS TATUAPE SA,,BRAZIL,BRA,C13,,,0
137,197401136,1,B2471,REPUBLIC OF FRANCE,,FRANCE,FRA,O84,,,0
138,197401137,1,B2545,THE CORPORATION OF THE CITY OF GLASGOW,,UNITED KINGDOM,GBR,O84,,,0
139,197401138,1,B2606,GTE INTERNATIONAL INCORPORATED,,PHILIPPINES,PHL,G47,,,0
140,197401139,1,B2488,THE GOVERNMENT OF JAMAICA,,JAMAICA,JAM,O84,,,0
141,197401140,1,B3363,KYMIN OSAKEYHITO KYMMENE AKTIEBOLAG,,FINLAND,FIN,A02,,,0
142,197401141,1,B3870,"MAGYAR NEMZETI BANK, HUNGARY",,HUNGARY,HUN,K64,,,0
143,197401142,1,B3783,MOLAVE BULK CARRIERS INC.,,PHILIPPINES,PHL,H50,,,0
144,197401143,1,B4087,NORWIND SHIPPING COMPANY INCORPORATED,,SWITZERLAND,CHE,H50,,,0
145,197401144,1,B4012,NORCAPE (LIBERIA) INCORPORATED,,LIBERIA,LBR,H50,,,1
146,197401145,1,B4913,SEAFARER TANKERS INCORPORATED,,,,H50,,,3
147,197401146,1,B4183,ORIENTAL CHEMICAL FIBER CORPORATION,,TAIWAN,TWN,C20,,,0
148,197401147,1,B0568,"BANCO DE LA NACION, PERU",,PERU,PER,K64,,,0
149,197401148,1,B1179,CENTRAL BANK OF THE PHILIPPINES,,PHILIPPINES,PHL,K64,,,0
150,197401149,1,B1179,CENTRAL BANK OF THE PHILIPPINES,,PHILIPPINES,PHL,K64,,,0
151,197401150,1,B1179,CENTRAL BANK OF THE PHILIPPINES,,PHILIPPINES,PHL,K64,,,0
152,197401151,1,B2748,REDERI A/S JULIAN (HILMAR REKSTEN),,NORWAY,NOR,H50,,,0
153,197401152,1,B2521,REPUBLIC OF SENEGAL,,SENEGAL,SEN,O84,,,0
154,197401153,1,B5135,SOCIETE GABONAISE DE FINANCEMENT ET D'EXPANSION,,GABON,GAB,K64,,,1
155,197401154,1,B5209,SOUTH AFRICAN IRON,,SOUTH AFRICA,ZAF,B07,,,0
156,197401154,2,B5321,STEEL INDUSTRIAL CORPORATION LIMITED (ISCOR),,IRAN,IRN,C32,,,0
157,197401155,1,B2465,DEMOCRATIC REPUBLIC OF THE SUDAN,,SUDAN,SDN,O84,,,0
158,197401156,1,B5593,TRADINVEST BANK,,ITALY,ITA,K64,,,0
159,197401156,2,B5643,TRUST COMPANY OF NASSAU LIMITED,,TAIWAN,TWN,K66,,,0
160,197401157,1,B5834,VENEZOLANA DEL NITROGENO CA,,CANADA,CAN,C32,,,1
161,197401158,1,B6071,ZELJEZARA BORIS KIDRIC,,YUGOSLAVIA,YUG,C24,,,1
162,197401159,1,B6071,ZELJEZARA BORIS KIDRIC,,YUGOSLAVIA,YUG,C24,,,1
163,197401160,1,B0061,"ADELA INVESTMENT COMPANY S.A., LUXEMBOURG",,LUXEMBOURG,LUX,K64,,,0
164,197401161,1,B0475,AUTOPISTAS DEL MARE NOSTRUM S.A.,,SPAIN,ESP,F41,,,0
165,197401162,1,B2454,REPUBLIC OF BOLIVIA,,BOLIVIA,BOL,O84,,,0
166,197401163,1,B0981,BULGARIAN FOREIGN TRADE BANK,,BULGARIA,BGR,K64,,,0
167,197401164,1,B1025,CAISSE CENTRALE DE CREDIT HOTELIER COMMERCIAL ET INDUSTRIEL,,FRANCE,FRA,K64,,,0
168,197401165,1,B1288,CHINA STEEL CORPORATION,,CHINA,CHN,C32,,,0
169,197401166,1,B2464,REPUBLIC OF COLOMBIA,,COLOMBIA,COL,O84,,,0
170,197401167,1,B1415,"COMISION FEDERAL DE ELECTRICIDAD, MEXICO",,MEXICO,MEX,D35,,,0
171,197401168,1,B1587,CORPORACION MINERA DE BOLIVIA,,BOLIVIA,BOL,B07,,,0
172,197401169,1,B1487,"COMPANHIA SIDERIRGICA DE GUANABARA S.A., BRAZIL",,BRAZIL,BRA,C32,,,0
173,197401170,1,B1828,"DRAGADOS Y CONSTRUCCIONES, S.A.",,SPAIN,ESP,F41,,,0
174,197401171,1,B1976,EMPRESA LINEAS MARITIMAS ARGENTINAS S.A.,,ARGENTINA,ARG,H50,,,0
175,197401172,1,B1990,"EMPRESA NACIONAL DE TELECOMMUNICACIONES, ARGENTINA",,ARGENTINA,ARG,J61,,,0
176,197401173,1,B2147,"FEARNLEY & EGER, OSLO",,NORWAY,NOR,H50,,,0
177,197401174,1,B2172,FERROVIA PAULISTA S.A. - FEPASA,,BRAZIL,BRA,H49,,,0
178,197401175,1,B2353,GAZ DE FRANCE,,FRANCE,FRA,H49,,,0
179,197401176,1,B2655,"HALKIS CEMENT COMPANY S.A., GREECE",,GREECE,GRC,C32,,,0
180,197401177,1,B2671,HANIL SYNTHETIC FIBER INDUSTRIAL CO. LTD.,,KOREA,KOR,C20,,,0
181,197401178,1,B2782,HONEYWELL BULL,,FRANCE,FRA,I56,,,0
182,197401179,1,B2803,HOOKER CHEMICAL & PLASTICS CORPORATION,,UNITED STATES,USA,C22,,,0
183,197401179,2,B2803,"HOOKER CARIBE FINANCE CO., N.V.",,UNITED STATES,USA,C20,,,1
184,197401181,1,B2025,HYDROCARBONS INTERNATIONAL N.V.,,ITALY,ITA,F41,,,0
185,197401182,1,B2889,IMATRAN VOIMA OSAKEYHTID,,FINLAND,FIN,D35,,,1
186,197401183,1,B2985,"INSTITUTO NACIONAL DE INDUSTRIA, SPAIN",,SPAIN,ESP,K64,,,0
187,197401184,1,B2488,THE GOVERNMENT OF JAMAICA,,JAMAICA,JAM,O84,,,0
188,197401185,1,B3214,"KAWASAKI KISEN KAISHA, LTD.",,JAPAN,JPN,H49,,,0
189,197401186,1,B3466,LIGHT-SERVICOS DE ELECTRICIDADE S.A.,,BRAZIL,BRA,D35,,,0
190,197401187,1,B3679,MERIDIAN CARRIERS INC.,,MALAYSIA,MYS,H52,,,0
191,197401188,1,B4130,OFFICE DE RADIOFUSION TELEVISION FRANGAISE,,FRANCE,FRA,C27,,,0
192,197401189,1,B4227,PACIFIC POWER AND LIGHT COMPANY,,UNITED STATES,USA,C27,,,0
193,197401190,1,B4342,"PERTAMINA, INDONESIA",,INDONESIA,IDN,C19,,,0
194,197401191,1,B1774,DEVELOPMENT BANK OF THE PHILIPPINES,,PHILIPPINES,PHL,K64,,,0
195,197401192,1,B1179,CENTRAL BANK OF THE PHILIPPINES,,PHILIPPINES,PHL,K64,,,0
196,197401193,1,B4759,RUBICON INCORPORATED,,PHILIPPINES,PHL,Q87,,,0
197,197401194,1,B2543,THE RULER OF THE EMIRATE OF SHARJAH,,UNITED ARAB EMIRATES,ARE,O84,,,0
198,197401195,1,B4998,"SHV HOLDINGS, N.V.",,NETHERLANDS,NLD,G47,,,0
199,197401196,1,B5132,SOCIETE FINANCIERE POUR LES TELECOMMUNICATIONS ET I'ELECTRONIQUE S.A.,,FRANCE,FRA,J61,,,0
200,197401197,1,B5151,SOCIETE NATIONALE D'ELECTRICITE,,ZAIRE,ZAR,D35,,,0
201,197401198,1,B5214,SOUTH CAROLINA ELECTRIC AND GAS COMPANY,,UNITED STATES,USA,D35,,,0
202,197401199,1,B2444,THE REPUBLIC OF ARGENTINA,,ARGENTINA,ARG,O84,,,0
203,197401200,1,B0469,AUTOPISTAS DE CATALUNA Y ARAGON,,SPAIN,ESP,H49,,,1
204,197401201,1,B0638,"BANCO NACIONAL DE OBRAS Y SERVICIOS PUBLICOS, SA",,MEXICO,MEX,K64,,,0
205,197401202,1,B0683,BANK HANDLOWY W WARSZAWIE SA,,POLAND,POL,K64,,,0
206,197401203,1,B0683,BANK HANDLOWY W WARSZAWIE SA,,POLAND,POL,K64,,,0
207,197401204,1,B0897,THE BOWATER CORPORATION LTD,,UNITED KINGDOM,GBR,C32,,,0
208,197401205,1,B1099,CAROLINA POWER AND LIGHT COMPANY,,UNITED STATES,USA,C27,,,0
209,197401206,1,B0632,BANCO NACIONAL DE CUBA,,CUBA,CUB,K64,,,0
210,197401207,1,B1893,THE EGYPTIAN GENERAL PETROLEUM CORPORATION,EGPC,EGYPT,EGY,B06,,,0
211,197401208,1,B1924,ELECTRICITY SUPPLY BOARD,,IRELAND,IRL,D35,,,0
212,197401209,1,B1976,EMPRESA LINEAS MARTIMAS ARGENTINAS,,ARGENTINA,ARG,H50,,,1
213,197401210,1,B0699,BANK OF FINLAND,,FINLAND,FIN,K64,,,0
214,197401211,1,B3369,L'OFFICE DU CHEMIN DE FER TRABSGABONAIS,,GABON,GAB,D35,,,0
215,197401212,1,B2592,GROUPEMENT DE L'INDUSTRIE SIDERURGIQUE,,FRANCE,FRA,K66,,,1
216,197401213,1,B2898,INCANDESCE CARRIERS INC,,,,,,,3
217,197401214,1,B2484,IRELAND,,IRELAND,IRL,O84,,,0
218,197401215,1,B3183,JUGOSLOVENSKA POLJOPRIVREDNA BANKA,,YUGOSLAVIA,YUG,K64,,,0
219,197401216,1,B3547,MAGYAR NEMZETI BANK,,HUNGARY,HUN,K64,,,0
220,197401217,1,B3946,NESTE OY,,FINLAND,FIN,C19,,,0
221,197401218,1,B4681,REPUBLIC OF PANAMA,,PANAMA,PAN,O84,,,0
222,197401219,1,B2511,REPUBLIC OF PERU,,PERU,PER,O84,,,0
223,197401220,1,B4420,"PLACID INTERNATIONAL OIL, LTD",,UNITED STATES,USA,B06,,,0
224,197401221,1,B4646,RED NACIONAL DE LOS FERROCARRILES ESPANOLES,,SPAIN,ESP,H49,,,0
225,197401222,1,B5208,SOUTH AFRICAN BROADCASTING CORPORATION,,SOUTH AFRICA,ZAF,J61,,,0
226,197401223,1,B5469,TELECOMUNICACOES DE MINAS GERAIS SA,,BRAZIL,BRA,J61,,,0
227,197401224,1,B5681,UNITED BANK ZAGREB,,CROATIA,HRV,K64,,,0
228,197401225,1,B0805,BENEFICIAL CORPORATION,,UNITED STATES,USA,K64,,,0
229,197401226,1,B0873,BOLIDEN AB,,SWEDEN,SWE,C32,,,0
230,197401227,1,B1024,CAISSE CENTRALE DE COOPERATION ECONOMIQUE,,FRANCE,FRA,K64,,,1
231,197401228,1,B2522,REPUBLIQUE UNIE DU CAMEROUN,,CAMEROON,CMR,O84,,,0
232,197401229,1,B4577,"CHORAL LIMITED, A SUBSIDIARY OF PYRAMID TANKERS INCORPORATED",,CYPRUS,CYP,G46,,,0
233,197401230,1,B1508,COMPANIA TELEFONICA NACIONAL DE ESPAITA,,SPAIN,ESP,J61,,,0
234,197401231,1,B1638,CREDIT NATIONAL,,FRANCE,FRA,K64,,,1
235,197401232,1,B1752,"DEPARTAMENTO NACIONAL DE ESTRADAS DE RODAGEM, BRAZIL",,BRAZIL,BRA,O84,,,1
236,197401233,1,B2235,"FIRST NATIONAL HOLDING CORP, PARENT OF THE FIRST NATIONAL BANK OF ATLANTA",,UNITED STATES,USA,K64,,,0
237,197401234,1,B2353,GAZ DE FRANCE,,FRANCE,FRA,D35,,,0
238,197401235,1,B2381,GENERAL MOTORS KOREA COMPANY LIMITED,,KOREA,KOR,C29,,,0
239,197401236,1,B2543,HIS HIGHNESS SHEIKH SULTAN BIN MOHAMED AL-QASIMI,,UNITED ARAB EMIRATES,ARE,O84,,,1
240,197401237,1,B3129,THE JAMAICA MORTGAGE BANK,,JAMAICA,JAM,K64,,,0
241,197401238,1,B3255,KINGSNORTH MARINE DRILLING LIMITED,,UNITED KINGDOM,GBR,B06,,,0
242,197401239,1,B3492,LOCTITE CORPORATION,,UNITED STATES,USA,C20,,,0
243,197401240,1,B3485,"LJUBLJANSKA BANKA, YUGOSLAVIA",,YUGOSLAVIA,YUG,K64,,,0
244,197401241,1,B3643,MEDIOBANCA,,ITALY,ITA,K64,,,0
245,197401242,1,B3784,MOLSHINE TANKER CORPORATION SA,,UNITED STATES,USA,B06,,,0
246,197401243,1,B4161,OLJEKONSUMENTERNAS FORBUND,,SWEDEN,SWE,G47,,,0
247,197401244,1,B4214,OY WILH SCHAUMAN AB,,FINLAND,FIN,C20,,,0
248,197401245,1,B4681,THE REPUBLIC OF PANAMA,,PANAMA,PAN,O84,,,0
249,197401246,1,B4342,PERTAMINA,,INDONESIA,IDN,B06,,,0
250,197401247,1,B2511,THE REPUBLIC OF PERU,,PERU,PER,O84,,,0
251,197401248,1,B4707,RITZ SHIPPING INCORPORATED,,CANADA,CAN,H50,,,0
252,197401249,1,B4984,SHINKONG SYNTHETIC FIBERS CORPORATION TAIWAN,,TAIWAN,TWN,C20,,,0
253,197401250,1,B2457,"STATE OF ESPIRITO SANTO, BRAZIL",,BRAZIL,BRA,O84,,,0
254,197401251,1,B5599,TRANS EUROPEAN NATURAL GAS PIPELINE FINANCE COMPANY LIMITED,,ITALY,ITA,H49,,,2
255,197401252,1,B6015,XEROX CORPORATION,,UNITED STATES,USA,J62,,,0
256,197401253,1,B1285,CHINA PETROCHEMICAL DEVELOPMENT CORPORATION,,TAIWAN,TWN,C22,,,0
257,197401254,1,B2466,KINGDOM OF DENMARK,,DENMARK,DNK,O84,,,0
