OG_INDEX,PKGID,ORDER,BORROWERID,BORROWER,CLEAN_BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,TYPE,PURPOSE,CLUSTER
704,197401303,1,B4387,PHILIPPINE NATIONAL BANK,PHILIPPINE NATIONAL BANK,,PHILIPPINES,PHL,K64,,,2
705,197401304,1,B4759,RUBICON INC.,RUBICON INC,,PHILIPPINES,PHL,M73,,,998
706,197401305,1,B1179,CENTRAL BANK OF THE PHILIPPINES,CENTRAL BANK PHILIPPINES,,PHILIPPINES,PHL,K64,,,239
707,197401306,1,B1179,CENTRAL BANK OF THE PHILIPPINES,CENTRAL BANK PHILIPPINES,,PHILIPPINES,PHL,K64,,,239
708,197401307,1,B1179,CENTRAL BANK OF THE PHILIPPINES,CENTRAL BANK PHILIPPINES,,PHILIPPINES,PHL,K64,,,239
709,197401308,1,B1774,DEVELOPMENT BANK OF THE PHILIPPINES,DEVELOPMENT BANK PHILIPPINES,,PHILIPPINES,PHL,K64,,,199
710,197401309,1,B2606,GTE INTERNATIONAL INC.,GTE INTERNATIONAL INC,,PHILIPPINES,PHL,C26,,,5370
711,197401310,1,B3783,MOLAVE BULK CARRIERS INC.,MOLAVE BULK CARRIERS INC,,PHILIPPINES,PHL,H50,,,745
712,197401311,1,B1179,CENTRAL BANK OF THE PHILIPPINES,CENTRAL BANK PHILIPPINES,,PHILIPPINES,PHL,K64,,,239
713,197401312,1,B4386,PHILIPPINE LONG DISTANCE TELEPHONE COMPANY,PHILIPPINE LONG DISTANCE TELEPHONE COMPANY,,PHILIPPINES,PHL,J61,,,7356
714,197401313,1,B3569,MANILA ELECTRIC CO.,MANILA ELECTRIC CO,,PHILIPPINES,PHL,D35,,,8807
715,197401314,1,B3672,MERALCO SECURITIES CORP.,MERALCO SECURITIES CORP,,PHILIPPINES,PHL,D35,,,5068
716,197401315,1,B3911,NATIONAL POWER CORPORATION,NATIONAL POWER CORPORATION,,PHILIPPINES,PHL,D35,,,32
717,197401316,1,B4388,PHILIPPINE NATIONAL OIL CO.,PHILIPPINE NATIONAL OIL CO,,PHILIPPINES,PHL,D35,,,159
718,197401317,1,B2188,FILSYN,FILSYN,,PHILIPPINES,PHL,N77,,,4467
719,197401318,1,B0683,BANK HANDLOWY W WARSZAWIE,BANK HANDLOWY W WARSZAWIE,,POLAND,POL,K64,,,234
720,197401319,1,B0683,BANK HANDLOWY W WARSZAWIE,BANK HANDLOWY W WARSZAWIE,,POLAND,POL,K64,,,234
721,197401320,1,B0683,BANK HANDLOWY W WARSZAWIE,BANK HANDLOWY W WARSZAWIE,,POLAND,POL,K64,,,234
722,197401321,1,B0683,BANK HANDLOWY W WARSZAWIE,BANK HANDLOWY W WARSZAWIE,,POLAND,POL,K64,,,234
723,197401322,1,B0683,BANK HANDLOWY W WARSZAWIE,BANK HANDLOWY W WARSZAWIE,,POLAND,POL,K64,,,234
724,197401323,1,B0683,BANK HANDLOWY W WARSZAWIE,BANK HANDLOWY W WARSZAWIE,,POLAND,POL,K64,,,234
725,197401324,1,B6076,ZJEDNOCZENIE GORNICZO-HUTNICZE METALI NIEZELAZNYCH,ZJEDNOCZENIE GORNICZOHUTNICZE METALI NIEZELAZNYCH,,POLAND,POL,O84,,,4097
726,197401325,1,B0683,BANK HANDLOWY W WARSZAWIE,BANK HANDLOWY W WARSZAWIE,,POLAND,POL,K64,,,234
727,197401326,1,B0683,BANK HANDLOWY W WARSZAWIE,BANK HANDLOWY W WARSZAWIE,,POLAND,POL,K64,,,234
728,197401327,1,B0683,BANK HANDLOWY W WARSZAWIE,BANK HANDLOWY W WARSZAWIE,,POLAND,POL,K64,,,234
729,197401328,1,B0683,BANK HANDLOWY W WARSZAWIE,BANK HANDLOWY W WARSZAWIE,,POLAND,POL,K64,,,234
730,197401329,1,B5098,SOCIEDADE DE FINANCEIRA PORTUGUESA,SOCIEDADE DE FINANCEIRA PORTUGUESA,,PORTUGAL,PRT,O84,,,9856
731,197401330,1,B2555,GOVERNMENT OF PORTUGAL,GOVERNMENT PORTUGAL,,PORTUGAL,PRT,O84,,,1887
732,197401331,1,B2528,REPUBLIC OF SOUTH AFRICA,REPUBLIC SOUTH AFRICA,,SOUTH AFRICA,ZAF,O84,,,629
733,197401332,1,B5209,SOUTH AFRICAN IRON AND STEEL,SOUTH AFRICAN IRON STEEL,ISCOR,SOUTH AFRICA,ZAF,C24,,,7073
734,197401333,1,B2528,REPUBLIC OF SOUTH AFRICA,REPUBLIC SOUTH AFRICA,,SOUTH AFRICA,ZAF,O84,,,629
735,197401334,1,B5208,SOUTH AFRICAN BROADCASTING CORP.,SOUTH AFRICAN BROADCASTING CORP,,SOUTH AFRICA,ZAF,C18,,,4924
736,197401335,1,B5210,SOUTH AFRICAN RAILWAYS AND HARBOURS BOARD,SOUTH AFRICAN RAILWAYS HARBOURS BOARD,,SOUTH AFRICA,ZAF,O84,,,7083
737,197401336,1,B5207,SOUTH AFRICAN BREWERIES LTD.,SOUTH AFRICAN BREWERIES LTD,,SOUTH AFRICA,ZAF,C11,,,7075
738,197401337,1,B1925,ELECTRICITY SUPPLY COMMISSION,ELECTRICITY SUPPLY COMMISSION,ESCOM,SOUTH AFRICA,ZAF,D35,,,1950
739,197401338,1,B5209,SOUTH AFRICAN IRON AND STEEL CORP.,SOUTH AFRICAN IRON STEEL CORP,ISCOR,SOUTH AFRICA,ZAF,C24,,,7072
740,197401339,1,B5209,SOUTH AFRICAN IRON AND STEEL CORP.,SOUTH AFRICAN IRON STEEL CORP,ISCOR,SOUTH AFRICA,ZAF,C24,,,7072
741,197401340,1,B2380,GENERAL MINING & FINANCE CORP.LTD.,GENERAL MINING FINANCE CORPLTD,,SOUTH AFRICA,ZAF,B07,,,6099
742,197401341,1,B2528,REPUBLIC OF SOUTH AFRICA,REPUBLIC SOUTH AFRICA,,SOUTH AFRICA,ZAF,O84,,,629
743,197401342,1,B5209,SOUTH AFRICAN IRON AND STEEL CORP.,SOUTH AFRICAN IRON STEEL CORP,ISCOR,SOUTH AFRICA,ZAF,C24,,,7072
744,197401343,1,B5209,SOUTH AFRICAN IRON AND STEEL CORP.,SOUTH AFRICAN IRON STEEL CORP,ISCOR,SOUTH AFRICA,ZAF,C24,,,7072
745,197401344,1,B0475,AUTOPISTAS DEL MARC NOSTRUM S.A.,AUTOPISTAS DEL MARC NOSTRUM SA,,SPAIN,ESP,C28,,,8894
746,197401345,1,B1508,COMPANIA TELEFONICA NACIONAL DE ESPANA,COMPANIA TELEFONICA NACIONAL DE ESPANA,,SPAIN,ESP,J61,,,10508
747,197401346,1,B2300,FOSFORICO ESPANOLA S.A.,FOSFORICO ESPANOLA SA,,SPAIN,ESP,C20,,,8932
748,197401347,1,B1508,COMPANIA TELEFONICA NACIONAL DE ESPANA,COMPANIA TELEFONICA NACIONAL DE ESPANA,,SPAIN,ESP,J61,,,10508
749,197401348,1,B1828,DRAGADOS Y CONSTRUCCIONES GROUP,DRAGADOS Y CONSTRUCCIONES GROUP,,SPAIN,ESP,F43,,,9322
750,197401349,1,B1828,DRAGADOS Y CONSTRUCCIONES S.A.,DRAGADOS Y CONSTRUCCIONES SA,,SPAIN,ESP,F43,,,9321
751,197401350,1,B2985,INSTITUTO NACIONAL DE INDUSTRIA,INSTITUTO NACIONAL DE INDUSTRIA,,SPAIN,ESP,K64,,,10481
752,197401351,1,B4646,RED NACIONAL DE LOS FERROCARRILES ESPANOLES,RED NACIONAL DE LOS FERROCARRILES ESPANOLES,RENFE,SPAIN,ESP,H49,,,10524
753,197401352,1,B4646,RED NACIONAL DE LOS FERROCARRILES ESPANOLES,RED NACIONAL DE LOS FERROCARRILES ESPANOLES,RENFE,SPAIN,ESP,H49,,,10524
754,197401353,1,B0468,AUTOPISTAS CONCESIONARIA EPSANOLA S.A.,AUTOPISTAS CONCESIONARIA EPSANOLA SA,,SPAIN,ESP,N79,,,8966
755,197401354,1,B0469,AUTOPISTAS DE CATALUNA Y ARGON,AUTOPISTAS DE CATALUNA Y ARGON,,SPAIN,ESP,O84,,,8914
756,197401355,1,B2317,FUERZAS ELECTRICAS DEL NORODESTS S.A.,FUERZAS ELECTRICAS DEL NORODESTS SA,FENOSA,SPAIN,ESP,D35,,,10018
757,197401356,1,B0468,AUTOPISTAS,AUTOPISTAS,,SPAIN,ESP,O84,,,8963
758,197401357,1,B1994,EMPRESA NACIONAL DEL URANIO S.A.,EMPRESA NACIONAL DEL URANIO SA,,SPAIN,ESP,D35,,,10397
759,197401358,1,B0468,AUTOPISTAS CONCESIONARIA EPSANOLA S.A.,AUTOPISTAS CONCESIONARIA EPSANOLA SA,,SPAIN,ESP,N79,,,8966
760,197401359,1,B2097,EUROPISTAS CONCESIONARIA ESPANOLA S.A.,EUROPISTAS CONCESIONARIA ESPANOLA SA,,SPAIN,ESP,C32,,,8949
761,197401360,1,B2300,FOSFORICO ESPANOLA S.A.,FOSFORICO ESPANOLA SA,,SPAIN,ESP,C20,,,8932
762,197401361,1,B5088,SOCIEDAD ESPANOLA DE TITANIO,SOCIEDAD ESPANOLA DE TITANIO,,SPAIN,ESP,O84,,,9568
763,197401362,1,B2465,DEMOCRATIC REPUBLIC OF THE SUDAN,DEMOCRATIC REPUBLIC SUDAN,,SUDAN,SDN,O84,,,630
764,197401363,1,B2465,DEMOCRATIC REPUBLIC OF THE SUDAN,DEMOCRATIC REPUBLIC SUDAN,,SUDAN,SDN,O84,,,630
765,197401364,1,B5889,VOLVO,VOLVO,,SWEDEN,SWE,C29,,,3769
766,197401365,1,B0873,BOLIDEN A/B.,BOLIDEN AB,,SWEDEN,SWE,B07,,,2270
767,197401366,1,B4161,OLJEKONSUMENTERNAS FORBUND,OLJEKONSUMENTERNAS FORBUND,OK,SWEDEN,SWE,O84,,,3599
768,197401367,1,B0293,ANGFARTYGSAKTIEBOLAGET TIRFING,ANGFARTYGSAKTIEBOLAGET TIRFING,,SWEDEN,SWE,H50,,,3869
769,197401367,2,B3564,MALMOS REDERI A/B.,MALMOS REDERI AB,,SWEDEN,SWE,H49,,,2237
770,197401367,3,B0490,A.JOHNSON & CO.H.A.B.,AJOHNSON COHAB,,SWEDEN,SWE,C32,,,4468
771,197401367,4,B0206,ALMEDAHLS A/B.,ALMEDAHLS AB,,SWEDEN,SWE,C13,,,2284
772,197401368,1,B3279,KOOPERATIVA FOERBUNDET,KOOPERATIVA FOERBUNDET,,SWEDEN,SWE,G47,,,3822
773,197401369,1,B3734,MIGROS-GENOSSENSCHAFTS -BUND,MIGROSGENOSSENSCHAFTS BUND,,SWITZERLAND,CHE,G47,,,4469
774,197401370,1,B5495,THAI AIRWAYS,THAI AIRWAYS,,THAILAND,THA,H51,,,6989
775,197401371,1,B2540,GOVERNMENT OF TRINIDAD & TOBAGO,GOVERNMENT TRINIDAD TOBAGO,,TRINIDAD & TOBAGO,TTO,O84,,,2614
776,197401372,1,B5626,TRINIDAD & TOBAGO TELEPHONE CO.,TRINIDAD TOBAGO TELEPHONE CO,,TRINIDAD & TOBAGO,TTO,J61,,,2616
777,197401373,1,B2543,EMIRATE OF SHARJAH,EMIRATE SHARJAH,,UNITED ARAB EMIRATES,ARE,O84,,,2893
778,197401374,1,B2543,EMIRATE OF SHARJAH,EMIRATE SHARJAH,,UNITED ARAB EMIRATES,ARE,O84,,,2893
779,197401375,1,B2543,EMIRATE OF RAS AL-KHAIMAH,EMIRATE RAS ALKHAIMAH,,UNITED ARAB EMIRATES,ARE,O84,,,2899
780,197401376,1,B2543,DUBAI,DUBAI,,UNITED ARAB EMIRATES,ARE,O84,,,2891
781,197401377,1,B0039,ABU DHABI TELEGRAPH AND TELEPHONE CO.LTD.,ABU DHABI TELEGRAPH TELEPHONE COLTD,,UNITED ARAB EMIRATES,ARE,J61,,,7393
782,197401378,1,B3121,J.LYONS & CO. LTD.,JLYONS CO LTD,,UNITED KINGDOM,GBR,C10,,,7940
783,197401379,1,B3674,MERCANTILE CREDIT COMPANY LTD.,MERCANTILE CREDIT COMPANY LTD,,UNITED KINGDOM,GBR,K64,,,6195
784,197401380,1,B0987,BURMAH OIL COMPANY LTD.,BURMAH OIL COMPANY LTD,,UNITED KINGDOM,GBR,D35,,,8734
785,197401381,1,B1236,CHALTARD LTD.,CHALTARD LTD,,UNITED KINGDOM,GBR,,,,6349
786,197401382,1,B3674,MERCANTILE CREDIT COMPANY LTD.,MERCANTILE CREDIT COMPANY LTD,,UNITED KINGDOM,GBR,K64,,,6195
787,197401383,1,B4380,PHILIP HILL INVESTMENT TRUST,PHILIP HILL INVESTMENT TRUST,,UNITED KINGDOM,GBR,,,,7260
788,197401384,1,B1921,THE ELECTRICITY COUNCIL,ELECTRICITY COUNCIL,,UNITED KINGDOM,GBR,D35,,,1968
789,197401385,1,B3165,MATTHEY FINANCE LTD.,MATTHEY FINANCE LTD,,UNITED KINGDOM,GBR,K64,,,5908
790,197401386,1,B3737,MILES DRUCE,MILES DRUCE,,UNITED KINGDOM,GBR,C24,,,4608
791,197401387,1,B4938,SELECTION TRUST LTD.,SELECTION TRUST LTD,,UNITED KINGDOM,GBR,B08,,,6409
792,197401388,1,B2545,THE GREATER LONDON COUNCIL,GREATER LONDON COUNCIL,,UNITED KINGDOM,GBR,O84,,,2461
793,197401389,1,B5743,UNITED BISCUITS LTD.,UNITED BISCUITS LTD,,UNITED KINGDOM,GBR,C10,,,6422
794,197401390,1,B2545,THE CORPORATION OF THE CITY OF GLASGOW,CORPORATION CITY GLASGOW,,UNITED KINGDOM,GBR,O84,,,5737
795,197401391,1,B3255,KINGSNORTH MARINE DRILLING CO.LTD.,KINGSNORTH MARINE DRILLING COLTD,,UNITED KINGDOM,GBR,H50,,,3247
796,197401392,1,B4420,PLACID INTERNATIONAL OIL LTD.,PLACID INTERNATIONAL OIL LTD,,UNITED KINGDOM,GBR,D35,,,5550
797,197401393,1,B2545,UNITED KINGDOM,UNITED KINGDOM,,UNITED KINGDOM,GBR,O84,,,664
798,197401394,1,B0897,BOWATER CORPORATION,BOWATER CORPORATION,,UNITED KINGDOM,GBR,C17,,,5833
799,197401395,1,B3676,MERCANTILE INVESTMENT TRUST,MERCANTILE INVESTMENT TRUST,,UNITED KINGDOM,GBR,K64,,,7259
800,197401396,1,B3705,METROPOLITAN PROPERTY CO.,METROPOLITAN PROPERTY CO,,UNITED KINGDOM,GBR,L68,,,8174
801,197401397,1,B0947,BRITISH POST OFFICE,BRITISH POST OFFICE,,UNITED KINGDOM,GBR,O84,,,2916
802,197401398,1,B3255,KINGSNORTH MARINE DRILLING CO.LTD.,KINGSNORTH MARINE DRILLING COLTD,,UNITED KINGDOM,GBR,H50,,,3247
803,197401399,1,B5644,TRUST HOUSES FORTE,TRUST HOUSES FORTE,,UNITED KINGDOM,GBR,N82,,,7213
804,197401400,1,B0937,BRITISH-AMERICAN TOBACCO CO.LTD.,BRITISHAMERICAN TOBACCO COLTD,,UNITED KINGDOM,GBR,C12,,,4165
805,197401401,1,B4707,RITZ SHIPPING INC,RITZ SHIPPING INC,,UNITED KINGDOM,GBR,N82,,,742
806,197401402,1,B4744,SHELL U.K.LTD.,SHELL UKLTD,,UNITED KINGDOM,GBR,D35,,,3192
807,197401403,1,B2697,HAWTIN LTD.,HAWTIN LTD,,UNITED KINGDOM,GBR,L68,,,6369
808,197401404,1,B4115,OCCIDENTAL OF BRITAIN INC.,OCCIDENTAL BRITAIN INC,,UNITED KINGDOM,GBR,D35,,,774
809,197401405,1,B5541,THOMSON PIPER PETROLEUM LTD.,THOMSON PIPER PETROLEUM LTD,,UNITED KINGDOM,GBR,D35,,,7483
810,197401406,1,B1141,CELTIC DRILLING CO.,CELTIC DRILLING CO,,UNITED KINGDOM,GBR,N81,,,8053
811,197401407,1,B2311,FRIGOSCANDIA LTD.,FRIGOSCANDIA LTD,,UNITED KINGDOM,GBR,C32,,,6354
812,197401408,1,B4799,SAGIT LTD.,SAGIT LTD,,UNITED KINGDOM,GBR,,,,6380
813,197401409,1,B5437,TARMAC LTD.,TARMAC LTD,,UNITED KINGDOM,GBR,C32,,,6398
814,197401410,1,B1309,C.I. MORTGAGE GROUP,CI MORTGAGE GROUP,,UNITED STATES,USA,L68,,,1445
815,197401411,1,B1309,C.I. MORTGAGE GROUP,CI MORTGAGE GROUP,,UNITED STATES,USA,L68,,,1445
816,197401412,1,B2617,GUARDIAN MORTGAGE INVESTORS,GUARDIAN MORTGAGE INVESTORS,,UNITED STATES,USA,K64,,,4796
817,197401413,1,B2803,HOOKER CHEMICAL & PLASTICSAND HOOKER CARIBE FINANCE CO.N.V.,HOOKER CHEMICAL PLASTICSAND HOOKER CARIBE FINANCE CONV,,UNITED STATES,USA,C20,,,6106
818,197401414,1,B3903,NATIONAL MORTGAGE FUND,NATIONAL MORTGAGE FUND,,UNITED STATES,USA,N77,,,127
819,197401415,1,B4915,SEALANE TANKERS INC.,SEALANE TANKERS INC,,UNITED STATES,USA,N77,,,841
820,197401415,2,B0203,ALLOCEANS TANKERS INC.,ALLOCEANS TANKERS INC,,UNITED STATES,USA,K64,,,840
821,197401415,3,B0337,ARBEIT TANKERS,ARBEIT TANKERS,,UNITED STATES,USA,,,,3534
822,197401416,1,B4326,PEPSICO INC.,PEPSICO INC,,UNITED STATES,USA,C11,,,935
